position,champion,game_time,total_games,win_count,win_rate
TOP,베인,30-35분,170,89.0,52.35
BOTTOM,닐라,30-35분,135,78.0,57.78
TOP,피오라,25-30분,861,441.0,51.22
JUNGLE,킨드레드,25-30분,278,165.0,59.35
TOP,카밀,25-30분,482,238.0,49.38
JUNGLE,에코,25-30분,1422,707.0,49.72
UTILITY,렐,25-30분,1091,553.0,50.69
TOP,피즈,25-30분,7,1.0,14.29
MIDDLE,르블랑,25-30분,728,321.0,44.09
TOP,자헨,25-30분,854,445.0,52.11
JUNGLE,암베사,25-30분,807,373.0,46.22
UTILITY,소라카,25-30분,283,132.0,46.64
TOP,카밀,20-25분,367,184.0,50.14
JUNGLE,렉사이,20-25분,592,318.0,53.72
MIDDLE,사일러스,20-25분,965,468.0,48.5
BOTTOM,닐라,20-25분,188,102.0,54.26
UTILITY,타릭,20-25분,254,136.0,53.54
TOP,피오라,20-25분,689,346.0,50.22
JUNGLE,암베사,20-25분,586,248.0,42.32
MIDDLE,아칼리,20-25분,1227,562.0,45.8
UTILITY,렝가,20-25분,29,12.0,41.38
TOP,스웨인,30-35분,48,24.0,50.0
MIDDLE,비에고,30-35분,44,26.0,59.09
UTILITY,카르마,30-35분,922,438.0,47.51
TOP,럼블,30-35분,958,532.0,55.53
JUNGLE,제드,30-35분,446,209.0,46.86
MIDDLE,아칼리,30-35분,1147,525.0,45.77
BOTTOM,직스,30-35분,134,62.0,46.27
TOP,카시오페아,20-25분,128,71.0,55.47
MIDDLE,누누와 윌럼프,20-25분,77,40.0,51.95
BOTTOM,유나라,20-25분,1816,876.0,48.24
UTILITY,파이크,20-25분,633,317.0,50.08
JUNGLE,자르반 4세,20-25분,605,276.0,45.62
UTILITY,럭스,20-25분,138,72.0,52.17
MIDDLE,탈론,0-20분,385,203.0,52.73
BOTTOM,진,0-20분,1000,490.0,49.0
UTILITY,르블랑,0-20분,125,63.0,50.4
TOP,케넨,0-20분,464,250.0,53.88
MIDDLE,빅토르,0-20분,659,262.0,39.76
BOTTOM,트리스타나,0-20분,549,298.0,54.28
MIDDLE,갈리오,20-25분,990,462.0,46.67
BOTTOM,제리,20-25분,346,150.0,43.35
UTILITY,소라카,20-25분,194,100.0,51.55
TOP,갱플랭크,20-25분,528,279.0,52.84
UTILITY,판테온,20-25분,227,117.0,51.54
JUNGLE,바이,25-30분,944,457.0,48.41
MIDDLE,트위스티드 페이트,25-30분,1199,639.0,53.29
UTILITY,엘리스,25-30분,689,351.0,50.94
TOP,갱플랭크,25-30분,721,384.0,53.26
BOTTOM,코르키,25-30분,308,142.0,46.1
UTILITY,레오나,25-30분,1272,664.0,52.2
TOP,티모,25-30분,197,103.0,52.28
JUNGLE,헤카림,25-30분,695,353.0,50.79
BOTTOM,카이사,25-30분,2673,1324.0,49.53
UTILITY,파이크,25-30분,834,424.0,50.84
TOP,라이즈,25-30분,388,218.0,56.19
MIDDLE,흐웨이,25-30분,338,175.0,51.78
TOP,자헨,0-20분,641,306.0,47.74
MIDDLE,오로라,0-20분,406,187.0,46.06
JUNGLE,말파이트,0-20분,661,282.0,42.66
BOTTOM,제리,0-20분,268,114.0,42.54
UTILITY,갈리오,0-20분,45,26.0,57.78
JUNGLE,탈리야,0-20분,136,70.0,51.47
JUNGLE,오공,0-20분,137,55.0,40.15
UTILITY,세나,0-20분,231,124.0,53.68
TOP,판테온,30-35분,166,80.0,48.19
JUNGLE,엘리스,30-35분,137,71.0,51.82
MIDDLE,키아나,30-35분,333,177.0,53.15
BOTTOM,드레이븐,30-35분,280,126.0,45.0
TOP,문도 박사,30-35분,226,104.0,46.02
JUNGLE,비에고,30-35분,768,367.0,47.79
MIDDLE,오리아나,30-35분,1236,656.0,53.07
UTILITY,벨코즈,30-35분,92,42.0,45.65
TOP,사이온,25-30분,678,303.0,44.69
JUNGLE,탈리야,25-30분,217,122.0,56.22
MIDDLE,탈론,25-30분,537,290.0,54.0
UTILITY,노틸러스,25-30분,2363,1189.0,50.32
BOTTOM,제리,25-30분,482,214.0,44.4
UTILITY,유미,25-30분,548,217.0,39.6
TOP,크산테,25-30분,1351,617.0,45.67
UTILITY,니달리,25-30분,145,54.0,37.24
TOP,이렐리아,25-30분,702,352.0,50.14
JUNGLE,세주아니,25-30분,135,55.0,40.74
MIDDLE,애니비아,25-30분,376,207.0,55.05
JUNGLE,자르반 4세,30-35분,532,279.0,52.44
MIDDLE,갱플랭크,30-35분,18,11.0,61.11
TOP,요릭,30-35분,163,69.0,42.33
JUNGLE,키아나,30-35분,755,414.0,54.83
MIDDLE,제드,30-35분,541,269.0,49.72
BOTTOM,케이틀린,30-35분,1035,502.0,48.5
UTILITY,노틸러스,30-35분,1534,767.0,50.0
UTILITY,피들스틱,0-20분,51,21.0,41.18
TOP,카밀,0-20분,320,159.0,49.69
JUNGLE,키아나,0-20분,680,348.0,51.18
MIDDLE,트위스티드 페이트,0-20분,719,367.0,51.04
UTILITY,레오나,0-20분,892,457.0,51.23
TOP,아칼리,0-20분,253,129.0,50.99
MIDDLE,제드,0-20분,525,287.0,54.67
TOP,갈리오,0-20분,48,27.0,56.25
TOP,신지드,20-25분,276,139.0,50.36
JUNGLE,탈론,20-25분,370,192.0,51.89
MIDDLE,아지르,20-25분,314,140.0,44.59
UTILITY,뽀삐,20-25분,436,253.0,58.03
TOP,녹턴,20-25분,39,20.0,51.28
JUNGLE,아트록스,20-25분,64,27.0,42.19
MIDDLE,초가스,20-25분,19,6.0,31.58
BOTTOM,자야,20-25분,249,133.0,53.41
TOP,세트,25-30분,332,160.0,48.19
JUNGLE,제드,25-30분,611,292.0,47.79
BOTTOM,닐라,25-30분,231,129.0,55.84
TOP,나르,25-30분,652,316.0,48.47
TOP,암베사,0-20분,1074,528.0,49.16
JUNGLE,벨베스,0-20분,298,177.0,59.4
MIDDLE,라이즈,0-20분,915,406.0,44.37
TOP,신지드,0-20분,231,109.0,47.19
TOP,레넥톤,0-20분,876,435.0,49.66
MIDDLE,아지르,0-20분,233,94.0,40.34
BOTTOM,닐라,0-20분,148,83.0,56.08
UTILITY,타릭,0-20분,239,128.0,53.56
TOP,말파이트,0-20분,293,153.0,52.22
MIDDLE,오리아나,0-20분,1310,645.0,49.24
TOP,일라오이,0-20분,82,40.0,48.78
JUNGLE,그레이브즈,0-20분,270,121.0,44.81
MIDDLE,흐웨이,0-20분,229,100.0,43.67
BOTTOM,애쉬,0-20분,368,153.0,41.58
TOP,그웬,0-20분,344,170.0,49.42
MIDDLE,모데카이저,0-20분,12,5.0,41.67
UTILITY,카르마,0-20분,926,452.0,48.81
MIDDLE,카타리나,0-20분,665,397.0,59.7
JUNGLE,제이스,25-30분,2251,1096.0,48.69
UTILITY,브라움,25-30분,2197,1160.0,52.8
MIDDLE,라이즈,25-30분,1332,682.0,51.2
TOP,문도 박사,0-20분,260,128.0,49.23
TOP,렝가,25-30분,186,95.0,51.08
TOP,클레드,25-30분,333,173.0,51.95
JUNGLE,신 짜오,25-30분,677,332.0,49.04
MIDDLE,이렐리아,25-30분,421,224.0,53.21
UTILITY,조이,25-30분,61,34.0,55.74
BOTTOM,칼리스타,25-30분,137,66.0,48.18
TOP,요네,25-30분,518,230.0,44.4
MIDDLE,스웨인,25-30분,129,62.0,48.06
TOP,베인,35-40분,53,32.0,60.38
JUNGLE,제이스,35-40분,599,276.0,46.08
MIDDLE,오로라,35-40분,137,73.0,53.28
UTILITY,뽀삐,35-40분,186,96.0,51.61
TOP,라이즈,35-40분,115,56.0,48.7
JUNGLE,판테온,35-40분,31,18.0,58.06
MIDDLE,요네,35-40분,136,69.0,50.74
BOTTOM,벨코즈,35-40분,49,22.0,44.9
UTILITY,레오나,35-40분,270,132.0,48.89
TOP,블라디미르,25-30분,362,175.0,48.34
MIDDLE,에코,25-30분,557,278.0,49.91
BOTTOM,자야,25-30분,339,181.0,53.39
TOP,라이즈,30-35분,258,108.0,41.86
MIDDLE,사일러스,30-35분,729,350.0,48.01
UTILITY,바드,30-35분,759,397.0,52.31
TOP,갱플랭크,30-35분,563,310.0,55.06
MIDDLE,탈리야,30-35분,447,233.0,52.13
BOTTOM,미스 포츈,30-35분,769,409.0,53.19
UTILITY,파이크,30-35분,599,249.0,41.57
JUNGLE,자르반 4세,0-20분,594,309.0,52.02
TOP,바루스,0-20분,221,110.0,49.77
TOP,렉사이,0-20분,90,47.0,52.22
TOP,사이온,0-20분,463,204.0,44.06
BOTTOM,자야,0-20분,225,121.0,53.78
UTILITY,렐,0-20분,784,412.0,52.55
BOTTOM,시비르,0-20분,694,339.0,48.85
JUNGLE,제이스,0-20분,1506,713.0,47.34
TOP,그웬,30-35분,315,165.0,52.38
TOP,사이온,30-35분,437,182.0,41.65
JUNGLE,문도 박사,30-35분,131,60.0,45.8
BOTTOM,시비르,30-35분,711,384.0,54.01
UTILITY,세나,30-35분,236,130.0,55.08
UTILITY,블리츠크랭크,25-30분,871,439.0,50.4
TOP,우디르,25-30분,142,69.0,48.59
MIDDLE,사일러스,0-20분,887,450.0,50.73
BOTTOM,멜,0-20분,59,28.0,47.46
UTILITY,렝가,0-20분,36,22.0,61.11
MIDDLE,조이,0-20분,614,352.0,57.33
UTILITY,블리츠크랭크,0-20분,569,286.0,50.26
JUNGLE,케인,25-30분,126,65.0,51.59
TOP,크산테,35-40분,346,165.0,47.69
MIDDLE,애니비아,35-40분,107,53.0,49.53
BOTTOM,바루스,35-40분,183,79.0,43.17
UTILITY,르블랑,35-40분,39,15.0,38.46
TOP,신지드,35-40분,79,43.0,54.43
JUNGLE,카직스,35-40분,149,80.0,53.69
MIDDLE,블라디미르,35-40분,48,30.0,62.5
UTILITY,사일러스,35-40분,30,18.0,60.0
TOP,크산테,20-25분,985,444.0,45.08
JUNGLE,바이,20-25분,703,312.0,44.38
BOTTOM,스몰더,20-25분,239,120.0,50.21
MIDDLE,탈론,20-25분,393,207.0,52.67
UTILITY,노틸러스,20-25분,1740,850.0,48.85
TOP,리산드라,20-25분,33,19.0,57.58
MIDDLE,오로라,20-25분,358,169.0,47.21
BOTTOM,트리스타나,20-25분,541,276.0,51.02
UTILITY,사일러스,20-25분,87,40.0,45.98
JUNGLE,카직스,20-25분,477,229.0,48.01
MIDDLE,조이,20-25분,619,340.0,54.93
UTILITY,쓰레쉬,20-25분,1417,699.0,49.33
BOTTOM,벨코즈,30-35분,101,53.0,52.48
TOP,오로라,30-35분,109,47.0,43.12
JUNGLE,신 짜오,30-35분,394,201.0,51.02
TOP,뽀삐,20-25분,152,71.0,46.71
JUNGLE,비에고,20-25분,895,424.0,47.37
BOTTOM,진,20-25분,992,448.0,45.16
UTILITY,니코,20-25분,651,354.0,54.38
MIDDLE,탈리야,20-25분,516,268.0,51.94
BOTTOM,벨코즈,20-25분,76,44.0,57.89
UTILITY,스웨인,0-20분,119,60.0,50.42
TOP,제이스,0-20분,288,138.0,47.92
MIDDLE,카시오페아,0-20분,163,78.0,47.85
BOTTOM,바루스,0-20분,447,205.0,45.86
BOTTOM,바루스,25-30분,592,300.0,50.68
TOP,트위스티드 페이트,25-30분,17,8.0,47.06
TOP,럼블,35-40분,367,192.0,52.32
MIDDLE,아칼리,35-40분,426,212.0,49.77
JUNGLE,피들스틱,35-40분,66,40.0,60.61
MIDDLE,스몰더,35-40분,22,9.0,40.91
BOTTOM,미스 포츈,35-40분,250,132.0,52.8
UTILITY,알리스타,35-40분,277,149.0,53.79
TOP,트리스타나,25-30분,18,10.0,55.56
TOP,자르반 4세,25-30분,6,3.0,50.0
TOP,바루스,20-25분,212,114.0,53.77
JUNGLE,사일러스,20-25분,720,351.0,48.75
MIDDLE,사이온,20-25분,99,50.0,50.51
BOTTOM,미스 포츈,20-25분,844,422.0,50.0
TOP,케넨,20-25분,469,251.0,53.52
TOP,렉사이,20-25분,108,54.0,50.0
JUNGLE,잭스,20-25분,49,26.0,53.06
MIDDLE,신드라,20-25분,554,270.0,48.74
BOTTOM,징크스,20-25분,1156,631.0,54.58
UTILITY,레오나,20-25분,955,495.0,51.83
TOP,하이머딩거,20-25분,57,21.0,36.84
JUNGLE,신 짜오,20-25분,494,237.0,47.98
TOP,애니비아,0-20분,86,56.0,65.12
MIDDLE,빅토르,25-30분,878,430.0,48.97
UTILITY,람머스,25-30분,44,21.0,47.73
TOP,애니비아,25-30분,96,50.0,52.08
JUNGLE,문도 박사,25-30분,181,91.0,50.28
TOP,우디르,30-35분,122,56.0,45.9
JUNGLE,암베사,30-35분,529,263.0,49.72
MIDDLE,멜,30-35분,246,125.0,50.81
UTILITY,타릭,30-35분,181,89.0,49.17
TOP,케일,25-30분,118,62.0,52.54
JUNGLE,카직스,25-30분,705,376.0,53.33
JUNGLE,카서스,25-30분,491,265.0,53.97
MIDDLE,사이온,25-30분,131,74.0,56.49
TOP,리산드라,30-35분,26,15.0,57.69
JUNGLE,니달리,30-35분,524,255.0,48.66
MIDDLE,이렐리아,30-35분,222,97.0,43.69
UTILITY,쓰레쉬,30-35분,1216,606.0,49.84
MIDDLE,그라가스,30-35분,49,25.0,51.02
UTILITY,사일러스,30-35분,92,38.0,41.3
TOP,베인,0-20분,188,90.0,47.87
TOP,바루스,25-30분,321,157.0,48.91
MIDDLE,리산드라,25-30분,324,168.0,51.85
TOP,사이온,20-25분,537,267.0,49.72
MIDDLE,에코,0-20분,438,236.0,53.88
TOP,레넥톤,30-35분,718,356.0,49.58
MIDDLE,요네,30-35분,479,243.0,50.73
UTILITY,렐,30-35분,735,404.0,54.97
MIDDLE,스웨인,30-35분,81,47.0,58.02
UTILITY,레오나,30-35분,820,418.0,50.98
TOP,볼리베어,30-35분,258,126.0,48.84
JUNGLE,자이라,30-35분,248,132.0,53.23
UTILITY,라칸,0-20분,916,442.0,48.25
MIDDLE,트위스티드 페이트,35-40분,230,117.0,50.87
UTILITY,니코,35-40분,233,109.0,46.78
MIDDLE,탈리야,35-40분,176,96.0,54.55
BOTTOM,케이틀린,35-40분,386,206.0,53.37
UTILITY,오리아나,25-30분,5,1.0,20.0
JUNGLE,키아나,20-25분,762,375.0,49.21
BOTTOM,사미라,20-25분,128,61.0,47.66
TOP,오른,0-20분,141,46.0,32.62
MIDDLE,니코,0-20분,81,44.0,54.32
TOP,세주아니,0-20분,85,40.0,47.06
BOTTOM,케이틀린,0-20분,1071,551.0,51.45
TOP,제드,0-20분,28,10.0,35.71
JUNGLE,다이애나,0-20분,292,127.0,43.49
MIDDLE,아크샨,0-20분,238,135.0,56.72
UTILITY,엘리스,0-20분,450,255.0,56.67
TOP,요네,20-25분,383,177.0,46.21
MIDDLE,카타리나,20-25분,721,375.0,52.01
TOP,자헨,20-25분,655,323.0,49.31
BOTTOM,징크스,30-35분,843,412.0,48.87
TOP,이렐리아,30-35분,393,183.0,46.56
UTILITY,니코,30-35분,640,309.0,48.28
TOP,케넨,30-35분,470,246.0,52.34
JUNGLE,바이,30-35분,598,305.0,51.0
JUNGLE,럼블,0-20분,6,2.0,33.33
UTILITY,쓰레쉬,0-20분,1262,712.0,56.42
TOP,다리우스,25-30분,461,207.0,44.9
JUNGLE,니달리,25-30분,913,453.0,49.62
MIDDLE,암베사,25-30분,118,65.0,55.08
UTILITY,파이크,0-20분,624,342.0,54.81
JUNGLE,트런들,0-20분,56,23.0,41.07
MIDDLE,애니비아,20-25분,276,154.0,55.8
UTILITY,룰루,20-25분,1227,566.0,46.13
TOP,렝가,20-25분,153,81.0,52.94
JUNGLE,킨드레드,20-25분,225,119.0,52.89
MIDDLE,스웨인,20-25분,93,49.0,52.69
BOTTOM,야스오,20-25분,82,40.0,48.78
UTILITY,세주아니,20-25분,5,2.0,40.0
MIDDLE,스웨인,35-40분,24,9.0,37.5
BOTTOM,진,35-40분,398,189.0,47.49
TOP,올라프,35-40분,86,40.0,46.51
JUNGLE,암베사,35-40분,185,92.0,49.73
MIDDLE,갈리오,35-40분,236,123.0,52.12
UTILITY,애쉬,35-40분,6,4.0,66.67
MIDDLE,신드라,25-30분,738,391.0,52.98
TOP,문도 박사,25-30분,337,146.0,43.32
UTILITY,진,25-30분,5,4.0,80.0
BOTTOM,진,30-35분,1082,542.0,50.09
UTILITY,블리츠크랭크,30-35분,579,287.0,49.57
JUNGLE,탈론,30-35분,385,193.0,50.13
UTILITY,애니비아,30-35분,51,26.0,50.98
JUNGLE,렉사이,0-20분,619,363.0,58.64
UTILITY,모르가나,0-20분,116,61.0,52.59
JUNGLE,녹턴,20-25분,134,70.0,52.24
BOTTOM,멜,20-25분,55,28.0,50.91
JUNGLE,킨드레드,0-20분,244,119.0,48.77
UTILITY,니달리,30-35분,97,56.0,57.73
TOP,피오라,30-35분,546,268.0,49.08
MIDDLE,갈리오,30-35분,817,420.0,51.41
UTILITY,질리언,30-35분,104,60.0,57.69
TOP,아칼리,25-30분,319,149.0,46.71
JUNGLE,그레이브즈,25-30분,340,167.0,49.12
TOP,퀸,25-30분,105,56.0,53.33
JUNGLE,자크,25-30분,588,301.0,51.19
MIDDLE,멜,20-25분,279,109.0,39.07
JUNGLE,말파이트,20-25분,787,340.0,43.2
BOTTOM,루시안,25-30분,2269,1105.0,48.7
MIDDLE,파이크,25-30분,5,2.0,40.0
UTILITY,렝가,25-30분,27,14.0,51.85
TOP,뽀삐,0-20분,157,94.0,59.87
MIDDLE,애니비아,0-20분,260,151.0,58.08
MIDDLE,신드라,30-35분,522,250.0,47.89
TOP,말파이트,30-35분,285,139.0,48.77
JUNGLE,뽀삐,30-35분,59,35.0,59.32
UTILITY,탐 켄치,25-30분,79,43.0,54.43
MIDDLE,멜,25-30분,332,127.0,38.25
TOP,레넥톤,20-25분,870,421.0,48.39
JUNGLE,문도 박사,20-25분,128,51.0,39.84
UTILITY,그라가스,20-25분,13,7.0,53.85
MIDDLE,아지르,25-30분,431,211.0,48.96
JUNGLE,자르반 4세,25-30분,825,396.0,48.0
TOP,오로라,0-20분,116,58.0,50.0
TOP,베인,20-25분,203,101.0,49.75
MIDDLE,에코,20-25분,403,196.0,48.64
UTILITY,레나타 글라스크,20-25분,45,25.0,55.56
TOP,아트록스,20-25분,538,254.0,47.21
JUNGLE,자크,20-25분,445,245.0,55.06
TOP,베인,25-30분,274,145.0,52.92
TOP,리 신,25-30분,44,21.0,47.73
BOTTOM,야스오,0-20분,93,52.0,55.91
TOP,그라가스,0-20분,221,104.0,47.06
JUNGLE,트런들,25-30분,53,31.0,58.49
TOP,자크,25-30분,114,45.0,39.47
TOP,워윅,0-20분,162,91.0,56.17
MIDDLE,멜,0-20분,238,98.0,41.18
JUNGLE,샤코,0-20분,117,60.0,51.28
BOTTOM,드레이븐,20-25분,313,179.0,57.19
JUNGLE,그웬,20-25분,470,246.0,52.34
MIDDLE,루시안,20-25분,20,10.0,50.0
BOTTOM,시비르,20-25분,675,354.0,52.44
UTILITY,세라핀,20-25분,288,128.0,44.44
UTILITY,쉔,25-30분,70,30.0,42.86
BOTTOM,제리,30-35분,300,161.0,53.67
UTILITY,유미,30-35분,355,177.0,49.86
TOP,자헨,30-35분,527,293.0,55.6
UTILITY,룰루,30-35분,927,445.0,48.0
JUNGLE,렉사이,25-30분,842,447.0,53.09
JUNGLE,카서스,20-25분,356,186.0,52.25
MIDDLE,트린다미어,20-25분,27,11.0,40.74
TOP,아이번,0-20분,34,20.0,58.82
JUNGLE,신 짜오,0-20분,442,195.0,44.12
TOP,볼리베어,25-30분,414,220.0,53.14
TOP,잭스,20-25분,962,495.0,51.46
JUNGLE,탈리야,20-25분,147,78.0,53.06
MIDDLE,야스오,20-25분,503,266.0,52.88
BOTTOM,애쉬,20-25분,388,194.0,50.0
MIDDLE,스웨인,0-20분,91,44.0,48.35
TOP,쉔,30-35분,220,129.0,58.64
MIDDLE,카밀,30-35분,8,6.0,75.0
UTILITY,뽀삐,30-35분,425,209.0,49.18
TOP,나르,20-25분,451,235.0,52.11
BOTTOM,베인,20-25분,76,31.0,40.79
UTILITY,블리츠크랭크,20-25분,636,308.0,48.43
JUNGLE,나피리,0-20분,73,30.0,41.1
MIDDLE,아우렐리온 솔,0-20분,159,73.0,45.91
JUNGLE,자이라,0-20분,240,134.0,55.83
MIDDLE,카밀,0-20분,5,3.0,60.0
JUNGLE,에코,30-35분,951,477.0,50.16
MIDDLE,사이온,30-35분,95,49.0,51.58
JUNGLE,릴리아,0-20분,253,121.0,47.83
UTILITY,마오카이,0-20분,221,116.0,52.49
BOTTOM,칼리스타,0-20분,108,70.0,64.81
BOTTOM,드레이븐,0-20분,353,187.0,52.97
TOP,볼리베어,20-25분,295,145.0,49.15
UTILITY,카밀,30-35분,50,20.0,40.0
JUNGLE,트런들,30-35분,32,16.0,50.0
BOTTOM,유나라,30-35분,1483,726.0,48.95
MIDDLE,트리스타나,30-35분,74,45.0,60.81
TOP,아칼리,35-40분,90,36.0,40.0
JUNGLE,키아나,35-40분,254,128.0,50.39
BOTTOM,이즈리얼,35-40분,616,267.0,43.34
TOP,요릭,35-40분,54,24.0,44.44
UTILITY,라칸,35-40분,254,128.0,50.39
TOP,자헨,40분+,58,27.0,46.55
JUNGLE,오공,40분+,15,3.0,20.0
MIDDLE,사일러스,40분+,39,23.0,58.97
BOTTOM,바루스,40분+,45,22.0,48.89
UTILITY,알리스타,40분+,62,33.0,53.23
TOP,그웬,40분+,18,12.0,66.67
JUNGLE,자이라,40분+,32,17.0,53.12
MIDDLE,탈론,40분+,37,20.0,54.05
BOTTOM,진,40분+,117,61.0,52.14
UTILITY,렐,40분+,66,26.0,39.39
UTILITY,샤코,30-35분,84,48.0,57.14
TOP,야스오,30-35분,216,107.0,49.54
MIDDLE,세라핀,30-35분,9,3.0,33.33
TOP,워윅,25-30분,252,113.0,44.84
MIDDLE,제라스,25-30분,294,155.0,52.72
TOP,클레드,30-35분,192,82.0,42.71
BOTTOM,사미라,30-35분,109,61.0,55.96
UTILITY,판테온,25-30분,304,159.0,52.3
JUNGLE,이블린,25-30분,229,115.0,50.22
TOP,암베사,35-40분,353,173.0,49.01
MIDDLE,에코,35-40분,124,56.0,45.16
UTILITY,카르마,35-40분,327,145.0,44.34
TOP,블라디미르,35-40분,88,40.0,45.45
JUNGLE,리 신,35-40분,687,326.0,47.45
BOTTOM,유나라,35-40분,476,250.0,52.52
MIDDLE,카르마,30-35분,23,12.0,52.17
JUNGLE,사일러스,0-20분,607,305.0,50.25
MIDDLE,카르마,0-20분,32,13.0,40.62
MIDDLE,코르키,20-25분,136,68.0,50.0
MIDDLE,이즈리얼,20-25분,10,5.0,50.0
UTILITY,마오카이,20-25분,253,134.0,52.96
JUNGLE,그웬,25-30분,586,325.0,55.46
JUNGLE,피들스틱,25-30분,225,119.0,52.89
TOP,아트록스,25-30분,700,297.0,42.43
UTILITY,소나,25-30분,363,181.0,49.86
TOP,니달리,30-35분,31,13.0,41.94
UTILITY,스웨인,30-35분,101,43.0,42.57
MIDDLE,아지르,30-35분,270,144.0,53.33
UTILITY,소나,30-35분,228,110.0,48.25
UTILITY,소나,20-25분,255,130.0,50.98
BOTTOM,직스,20-25분,141,85.0,60.28
BOTTOM,직스,25-30분,217,128.0,58.99
TOP,말파이트,40분+,17,6.0,35.29
JUNGLE,키아나,40분+,82,36.0,43.9
MIDDLE,라이즈,40분+,69,34.0,49.28
BOTTOM,유나라,40분+,135,82.0,60.74
UTILITY,니코,40분+,61,34.0,55.74
JUNGLE,릴리아,40분+,21,11.0,52.38
MIDDLE,요네,40분+,32,19.0,59.38
BOTTOM,이즈리얼,40분+,186,88.0,47.31
UTILITY,카르마,40분+,80,37.0,46.25
TOP,나르,30-35분,409,205.0,50.12
JUNGLE,헤카림,30-35분,394,197.0,50.0
UTILITY,람머스,30-35분,39,13.0,33.33
JUNGLE,아트록스,30-35분,55,24.0,43.64
BOTTOM,애쉬,30-35분,334,151.0,45.21
MIDDLE,다이애나,25-30분,310,156.0,50.32
UTILITY,스웨인,25-30분,175,83.0,47.43
TOP,아트록스,30-35분,447,225.0,50.34
MIDDLE,카타리나,25-30분,889,424.0,47.69
BOTTOM,미스 포츈,25-30분,1179,627.0,53.18
TOP,아지르,30-35분,34,19.0,55.88
BOTTOM,스몰더,30-35분,262,143.0,54.58
UTILITY,럭스,30-35분,130,75.0,57.69
JUNGLE,뽀삐,20-25분,56,29.0,51.79
BOTTOM,코르키,20-25분,230,124.0,53.91
BOTTOM,코르키,30-35분,251,116.0,46.22
MIDDLE,코르키,0-20분,128,51.0,39.84
UTILITY,애니비아,0-20분,58,31.0,53.45
TOP,아칼리,30-35분,220,113.0,51.36
TOP,퀸,20-25분,59,32.0,54.24
JUNGLE,판테온,20-25분,73,38.0,52.05
JUNGLE,니달리,20-25분,703,383.0,54.48
BOTTOM,바루스,20-25분,454,232.0,51.1
UTILITY,조이,20-25분,37,19.0,51.35
MIDDLE,모르가나,25-30분,46,26.0,56.52
UTILITY,나미,25-30분,433,221.0,51.04
TOP,티모,20-25분,130,69.0,53.08
JUNGLE,렝가,35-40분,36,21.0,58.33
BOTTOM,루시안,35-40분,516,274.0,53.1
UTILITY,자르반 4세,35-40분,6,4.0,66.67
TOP,티모,35-40분,42,20.0,47.62
MIDDLE,트리스타나,35-40분,28,13.0,46.43
UTILITY,트위치,35-40분,9,6.0,66.67
UTILITY,럭스,25-30분,214,110.0,51.4
MIDDLE,제드,20-25분,605,306.0,50.58
UTILITY,애니비아,20-25분,55,32.0,58.18
TOP,클레드,20-25분,262,131.0,50.0
JUNGLE,헤카림,20-25분,490,235.0,47.96
MIDDLE,르블랑,20-25분,519,243.0,46.82
TOP,세트,20-25분,255,118.0,46.27
UTILITY,렐,20-25분,798,402.0,50.38
TOP,올라프,30-35분,250,115.0,46.0
JUNGLE,이블린,30-35분,172,94.0,54.65
TOP,애니비아,30-35분,90,53.0,58.89
MIDDLE,판테온,25-30분,180,97.0,53.89
UTILITY,애니비아,25-30분,66,35.0,53.03
TOP,케넨,25-30분,689,383.0,55.59
BOTTOM,코르키,35-40분,82,35.0,42.68
TOP,바루스,35-40분,61,27.0,44.26
JUNGLE,오공,35-40분,55,29.0,52.73
MIDDLE,조이,35-40분,193,75.0,38.86
TOP,쉔,35-40분,82,44.0,53.66
TOP,카밀,35-40분,102,55.0,53.92
JUNGLE,자크,35-40분,124,71.0,57.26
TOP,아칼리,20-25분,226,118.0,52.21
MIDDLE,암베사,20-25분,97,47.0,48.45
JUNGLE,판테온,0-20분,76,35.0,46.05
BOTTOM,스웨인,0-20분,186,119.0,63.98
TOP,올라프,25-30분,396,221.0,55.81
JUNGLE,렝가,25-30분,194,104.0,53.61
BOTTOM,제라스,25-30분,36,22.0,61.11
TOP,올라프,20-25분,359,209.0,58.22
MIDDLE,요네,20-25분,523,244.0,46.65
UTILITY,아무무,25-30분,29,16.0,55.17
JUNGLE,다리우스,25-30분,6,5.0,83.33
MIDDLE,카사딘,25-30분,138,83.0,60.14
UTILITY,애쉬,25-30분,28,14.0,50.0
MIDDLE,클레드,0-20분,33,16.0,48.48
JUNGLE,제드,0-20분,418,213.0,50.96
UTILITY,벨코즈,0-20분,81,47.0,58.02
JUNGLE,잭스,0-20분,58,26.0,44.83
MIDDLE,녹턴,0-20분,11,4.0,36.36
UTILITY,럭스,0-20분,153,77.0,50.33
MIDDLE,바루스,0-20분,35,22.0,62.86
JUNGLE,벨베스,30-35분,200,110.0,55.0
TOP,르블랑,30-35분,7,4.0,57.14
TOP,클레드,0-20분,232,119.0,51.29
BOTTOM,베인,25-30분,91,40.0,43.96
TOP,트런들,30-35분,15,8.0,53.33
JUNGLE,피들스틱,30-35분,161,80.0,49.69
TOP,다리우스,0-20분,295,146.0,49.49
TOP,제이스,30-35분,253,117.0,46.25
TOP,그라가스,30-35분,217,97.0,44.7
MIDDLE,벡스,30-35분,225,121.0,53.78
TOP,뽀삐,30-35분,143,72.0,50.35
