position,champion,game_time,total_games,win_count,win_rate
MIDDLE,케일,20-25분,10,5.0,50.0
JUNGLE,볼리베어,25-30분,17,8.0,47.06
TOP,루시안,20-25분,7,4.0,57.14
MIDDLE,크산테,35-40분,9,4.0,44.44
JUNGLE,트위치,30-35분,5,1.0,20.0
TOP,벨베스,0-20분,25,18.0,72.0
TOP,피들스틱,0-20분,9,4.0,44.44
TOP,트런들,35-40분,9,5.0,55.56
TOP,에코,0-20분,9,3.0,33.33
TOP,하이머딩거,40분+,14,7.0,50.0
MIDDLE,신 짜오,20-25분,5,1.0,20.0
UTILITY,베이가,35-40분,6,2.0,33.33
JUNGLE,다이애나,40분+,11,4.0,36.36
TOP,트린다미어,40분+,9,6.0,66.67
TOP,일라오이,40분+,6,1.0,16.67
JUNGLE,마오카이,0-20분,5,3.0,60.0
TOP,뽀삐,40분+,12,7.0,58.33
JUNGLE,볼리베어,30-35분,14,5.0,35.71
UTILITY,키아나,0-20분,7,3.0,42.86
UTILITY,신드라,25-30분,12,3.0,25.0
UTILITY,오리아나,20-25분,7,4.0,57.14
MIDDLE,카밀,25-30분,9,4.0,44.44
JUNGLE,워윅,35-40분,12,4.0,33.33
BOTTOM,제라스,35-40분,9,5.0,55.56
JUNGLE,브라이어,35-40분,18,9.0,50.0
TOP,세주아니,40분+,11,6.0,54.55
UTILITY,자크,35-40분,9,5.0,55.56
TOP,니코,35-40분,6,3.0,50.0
MIDDLE,우르곳,20-25분,11,7.0,63.64
MIDDLE,피들스틱,30-35분,6,5.0,83.33
JUNGLE,누누와 윌럼프,40분+,15,10.0,66.67
JUNGLE,사이온,25-30분,8,2.0,25.0
MIDDLE,트리스타나,40분+,5,3.0,60.0
MIDDLE,자헨,35-40분,6,4.0,66.67
UTILITY,케넨,35-40분,5,3.0,60.0
JUNGLE,모데카이저,25-30분,7,4.0,57.14
JUNGLE,우디르,35-40분,28,16.0,57.14
TOP,소라카,20-25분,8,3.0,37.5
UTILITY,자르반 4세,20-25분,22,10.0,45.45
JUNGLE,탈리야,40분+,16,10.0,62.5
JUNGLE,아무무,30-35분,24,12.0,50.0
MIDDLE,질리언,30-35분,16,10.0,62.5
JUNGLE,그레이브즈,40분+,25,15.0,60.0
MIDDLE,퀸,35-40분,6,2.0,33.33
MIDDLE,요릭,30-35분,5,2.0,40.0
MIDDLE,하이머딩거,0-20분,6,3.0,50.0
JUNGLE,우디르,40분+,7,2.0,28.57
TOP,스카너,25-30분,11,6.0,54.55
BOTTOM,키아나,20-25분,8,3.0,37.5
MIDDLE,나르,25-30분,6,3.0,50.0
TOP,세트,40분+,17,12.0,70.59
JUNGLE,세주아니,40분+,11,7.0,63.64
TOP,카사딘,30-35분,7,6.0,85.71
JUNGLE,초가스,30-35분,18,7.0,38.89
JUNGLE,브랜드,35-40분,9,4.0,44.44
JUNGLE,모데카이저,30-35분,7,4.0,57.14
JUNGLE,스카너,40분+,6,3.0,50.0
MIDDLE,녹턴,30-35분,9,2.0,22.22
UTILITY,아리,25-30분,5,3.0,60.0
JUNGLE,엘리스,40분+,10,2.0,20.0
UTILITY,바이,25-30분,7,6.0,85.71
JUNGLE,쉬바나,0-20분,5,1.0,20.0
MIDDLE,워윅,20-25분,6,1.0,16.67
UTILITY,그라가스,35-40분,7,5.0,71.43
MIDDLE,퀸,0-20분,7,3.0,42.86
UTILITY,제라스,35-40분,27,6.0,22.22
MIDDLE,코그모,0-20분,5,2.0,40.0
JUNGLE,샤코,40분+,16,7.0,43.75
MIDDLE,코그모,25-30분,5,3.0,60.0
JUNGLE,모데카이저,20-25분,5,3.0,60.0
JUNGLE,나피리,40분+,5,2.0,40.0
MIDDLE,마스터 이,20-25분,9,3.0,33.33
BOTTOM,애니비아,0-20분,6,3.0,50.0
UTILITY,애니,30-35분,5,2.0,40.0
UTILITY,베이가,20-25분,10,3.0,30.0
MIDDLE,하이머딩거,20-25분,5,3.0,60.0
TOP,마오카이,35-40분,15,8.0,53.33
TOP,스몰더,40분+,5,2.0,40.0
TOP,세나,30-35분,9,7.0,77.78
BOTTOM,칼리스타,40분+,5,2.0,40.0
BOTTOM,아우렐리온 솔,40분+,6,1.0,16.67
JUNGLE,마오카이,30-35분,11,7.0,63.64
UTILITY,아무무,35-40분,5,5.0,100.0
MIDDLE,럼블,35-40분,8,3.0,37.5
TOP,마스터 이,0-20분,16,8.0,50.0
TOP,비에고,20-25분,10,4.0,40.0
MIDDLE,브랜드,25-30분,21,9.0,42.86
BOTTOM,코그모,40분+,5,1.0,20.0
UTILITY,오공,25-30분,7,1.0,14.29
TOP,람머스,0-20분,5,2.0,40.0
JUNGLE,올라프,25-30분,24,15.0,62.5
MIDDLE,직스,40분+,5,1.0,20.0
UTILITY,모르가나,40분+,8,5.0,62.5
UTILITY,문도 박사,0-20분,5,2.0,40.0
TOP,말자하,30-35분,7,2.0,28.57
MIDDLE,트위치,0-20분,7,4.0,57.14
MIDDLE,케일,35-40분,6,3.0,50.0
MIDDLE,베이가,40분+,8,5.0,62.5
JUNGLE,쉔,25-30분,5,4.0,80.0
BOTTOM,사미라,40분+,9,5.0,55.56
TOP,스몰더,35-40분,8,1.0,12.5
TOP,탈론,20-25분,7,1.0,14.29
MIDDLE,우르곳,25-30분,11,6.0,54.55
JUNGLE,쉬바나,20-25분,5,2.0,40.0
TOP,애니비아,40분+,5,1.0,20.0
UTILITY,사이온,30-35분,6,5.0,83.33
TOP,아리,25-30분,6,3.0,50.0
TOP,그레이브즈,20-25분,8,3.0,37.5
