position,champion,strategy,pick_count,win_count,avg_swap_time,win_rate
JUNGLE,바이,투명 와드 (유지),50,14,0.0,28.000000000000004
JUNGLE,바이,투명 와드 ➡ 망원형 개조,3,2,400187.6666666667,66.66666666666666
JUNGLE,바이,투명 와드 ➡ 예언자의 렌즈,2034,971,398192.6057030482,47.73844641101278
JUNGLE,베인,예언자의 렌즈 (유지),4,1,0.0,25.0
JUNGLE,베인,투명 와드 (유지),1,0,0.0,0.0
JUNGLE,베인,투명 와드 ➡ 예언자의 렌즈,1,0,420230.0,0.0
JUNGLE,벨베스,예언자의 렌즈 (유지),326,172,0.0,52.760736196319016
JUNGLE,벨베스,예언자의 렌즈 ➡ 망원형 개조,1,0,1020363.0,0.0
JUNGLE,벨베스,예언자의 렌즈 ➡ 투명 와드,11,6,60014.72727272727,54.54545454545454
JUNGLE,벨베스,투명 와드 (유지),30,14,0.0,46.666666666666664
JUNGLE,벨베스,투명 와드 ➡ 망원형 개조,5,1,324122.8,20.0
JUNGLE,벨베스,투명 와드 ➡ 예언자의 렌즈,820,450,404728.7756097561,54.87804878048781
JUNGLE,볼리베어,예언자의 렌즈 (유지),20,11,0.0,55.00000000000001
JUNGLE,볼리베어,예언자의 렌즈 ➡ 투명 와드,1,0,60011.0,0.0
JUNGLE,볼리베어,투명 와드 (유지),2,1,0.0,50.0
JUNGLE,볼리베어,투명 와드 ➡ 예언자의 렌즈,38,17,426479.36842105264,44.73684210526316
JUNGLE,브라이어,망원형 개조 (유지),11,5,0.0,45.45454545454545
JUNGLE,브라이어,예언자의 렌즈 (유지),82,34,0.0,41.46341463414634
JUNGLE,브라이어,예언자의 렌즈 ➡ 투명 와드,1,1,60023.0,100.0
JUNGLE,브라이어,투명 와드 (유지),37,16,0.0,43.24324324324324
JUNGLE,브라이어,투명 와드 ➡ 예언자의 렌즈,134,64,459145.1119402985,47.76119402985074
JUNGLE,브랜드,망원형 개조 ➡ 예언자의 렌즈,1,1,1500436.0,100.0
JUNGLE,브랜드,예언자의 렌즈 (유지),26,17,0.0,65.38461538461539
JUNGLE,브랜드,예언자의 렌즈 ➡ 망원형 개조,1,0,1140401.0,0.0
JUNGLE,브랜드,투명 와드 (유지),3,1,0.0,33.33333333333333
JUNGLE,브랜드,투명 와드 ➡ 예언자의 렌즈,86,43,414591.12790697673,50.0
JUNGLE,비에고,망원형 개조 (유지),2,2,0.0,100.0
JUNGLE,비에고,망원형 개조 ➡ 예언자의 렌즈,1,0,1140422.0,0.0
JUNGLE,비에고,예언자의 렌즈 (유지),1446,701,0.0,48.47856154910097
JUNGLE,비에고,예언자의 렌즈 ➡ 망원형 개조,6,2,1400481.3333333333,33.33333333333333
JUNGLE,비에고,예언자의 렌즈 ➡ 투명 와드,22,11,228048.5,50.0
JUNGLE,비에고,투명 와드 (유지),85,37,0.0,43.529411764705884
JUNGLE,비에고,투명 와드 ➡ 망원형 개조,14,6,915833.9285714285,42.857142857142854
JUNGLE,비에고,투명 와드 ➡ 예언자의 렌즈,2413,1173,389248.4923331952,48.61168669705761
JUNGLE,뽀삐,예언자의 렌즈 (유지),101,54,0.0,53.46534653465347
JUNGLE,뽀삐,예언자의 렌즈 ➡ 투명 와드,2,1,60028.5,50.0
JUNGLE,뽀삐,투명 와드 (유지),6,2,0.0,33.33333333333333
JUNGLE,뽀삐,투명 와드 ➡ 예언자의 렌즈,185,95,336474.0972972973,51.35135135135135
JUNGLE,사이온,예언자의 렌즈 (유지),17,7,0.0,41.17647058823529
JUNGLE,사이온,투명 와드 ➡ 예언자의 렌즈,6,2,570226.5,33.33333333333333
JUNGLE,사일러스,망원형 개조 (유지),3,2,0.0,66.66666666666666
JUNGLE,사일러스,예언자의 렌즈 (유지),959,461,0.0,48.07090719499479
JUNGLE,사일러스,예언자의 렌즈 ➡ 망원형 개조,8,3,1087874.875,37.5
JUNGLE,사일러스,예언자의 렌즈 ➡ 투명 와드,25,16,64823.0,64.0
JUNGLE,사일러스,투명 와드 (유지),85,43,0.0,50.588235294117645
JUNGLE,사일러스,투명 와드 ➡ 망원형 개조,6,3,630262.8333333334,50.0
JUNGLE,사일러스,투명 와드 ➡ 예언자의 렌즈,1808,911,375428.15873893804,50.38716814159292
JUNGLE,샤코,예언자의 렌즈 (유지),256,134,0.0,52.34375
JUNGLE,샤코,예언자의 렌즈 ➡ 망원형 개조,2,0,2010616.5,0.0
JUNGLE,샤코,예언자의 렌즈 ➡ 투명 와드,4,1,60020.75,25.0
JUNGLE,샤코,투명 와드 (유지),29,14,0.0,48.275862068965516
JUNGLE,샤코,투명 와드 ➡ 망원형 개조,2,1,570258.5,50.0
JUNGLE,샤코,투명 와드 ➡ 예언자의 렌즈,330,162,378524.86363636365,49.09090909090909
JUNGLE,세주아니,예언자의 렌즈 (유지),221,99,0.0,44.79638009049774
JUNGLE,세주아니,예언자의 렌즈 ➡ 망원형 개조,1,1,1320455.0,100.0
JUNGLE,세주아니,예언자의 렌즈 ➡ 투명 와드,5,1,60017.4,20.0
JUNGLE,세주아니,투명 와드 (유지),6,2,0.0,33.33333333333333
JUNGLE,세주아니,투명 와드 ➡ 예언자의 렌즈,250,132,376723.464,52.800000000000004
JUNGLE,쉔,투명 와드 (유지),1,0,0.0,0.0
JUNGLE,쉔,투명 와드 ➡ 예언자의 렌즈,20,11,492202.45,55.00000000000001
