position,champion,avg_kills,avg_deaths,avg_assists,avg_kda,avg_damage,avg_tanking,avg_vision,avg_gold,avg_cs,avg_time,avg_solokills,DPM,GPM,VSPM,DTM
JUNGLE,비에고,7.97,4.92,5.98,4.32,16678.7366,26671.7096,31.7507,12392.5199,184.0495,1571.03,0.88,636.99,473.29,1.21,1018.63
MIDDLE,사일러스,5.99,5.76,6.01,3.12,20476.1711,29788.9025,22.1019,10330.9006,173.1389,1534.08,1.71,800.85,404.06,0.86,1165.08
TOP,잭스,4.78,5.25,3.97,2.51,20207.0657,28361.2603,25.1331,10810.5794,187.998,1551.41,2.02,781.5,418.09,0.97,1096.86
JUNGLE,신 짜오,5.67,5.19,8.56,4.31,17978.7706,35164.7415,32.901,11101.6366,167.9818,1559.64,0.66,691.65,427.09,1.27,1352.8
BOTTOM,카이사,7.43,5.33,6.0,3.65,22179.5565,19122.7734,22.8538,13805.3784,216.7977,1559.95,0.67,853.09,530.99,0.88,735.52
UTILITY,엘리스,4.73,6.84,9.9,3.08,15266.8408,20358.2418,89.3708,8988.263,30.2819,1570.02,0.52,583.44,343.5,3.42,778.01
TOP,럼블,5.03,5.18,6.26,3.12,24498.8969,22870.0659,26.3134,10796.7563,193.0524,1584.95,1.87,927.43,408.72,1.0,865.77
MIDDLE,아칼리,7.1,5.19,4.48,3.28,22105.2845,25189.5826,23.0308,10962.7237,186.975,1574.53,2.31,842.36,417.75,0.88,959.89
TOP,크산테,3.82,4.42,5.53,3.1,18395.3246,30079.2871,23.7491,10154.0292,191.2616,1577.88,1.78,699.49,386.11,0.9,1143.79
JUNGLE,바이,5.12,4.85,8.52,4.36,13995.8591,26922.0647,33.9054,10920.0154,169.1155,1556.89,0.46,539.38,420.84,1.31,1037.53
MIDDLE,르블랑,6.67,4.39,5.9,4.27,22472.1346,20249.553,26.3688,11066.7279,187.5848,1574.02,2.13,856.61,421.85,1.01,771.89
UTILITY,사일러스,4.53,8.01,10.46,2.49,16362.7596,25894.717,80.6213,9158.3213,35.0723,1574.32,0.63,623.61,349.04,3.07,986.89
TOP,암베사,4.56,4.97,4.84,2.78,22317.8756,26670.2194,24.3909,10653.3486,195.6966,1564.23,1.63,856.06,408.64,0.94,1023.01
MIDDLE,라이즈,4.76,4.63,6.25,3.52,21546.907,24709.2673,25.5676,11276.9715,222.7161,1552.72,0.89,832.61,435.76,0.99,954.81
BOTTOM,제라스,6.06,4.02,8.12,5.16,26262.5354,13340.9055,21.315,12791.7087,212.4882,1603.28,0.76,982.83,478.71,0.8,499.26
UTILITY,알리스타,1.17,5.48,13.65,3.96,6534.1604,24767.0292,79.4976,7441.3607,24.1644,1541.07,0.1,254.4,289.72,3.1,964.28
TOP,이렐리아,5.5,6.71,3.99,2.07,20268.8915,28721.9793,22.214,11871.6189,220.1137,1534.58,2.8,792.49,464.16,0.87,1122.99
JUNGLE,제이스,6.99,5.28,8.07,4.31,23213.8955,21669.6024,37.8765,13503.7264,194.2178,1582.58,0.89,880.11,511.97,1.44,821.56
UTILITY,라칸,1.12,4.74,14.16,4.68,6386.0315,20088.5506,86.4227,7639.4704,28.5574,1549.56,0.08,247.27,295.81,3.35,777.84
TOP,판테온,5.93,5.46,5.57,2.9,22425.9378,25369.0227,24.2536,10497.2919,177.1639,1574.06,1.9,854.83,400.13,0.92,967.01
MIDDLE,탈리야,4.44,5.09,8.06,3.62,21009.7767,18585.4275,25.9068,10835.4845,206.51,1565.72,0.84,805.11,415.23,0.99,712.21
BOTTOM,스몰더,6.46,5.35,6.64,3.52,26641.7549,20549.8621,21.8416,13475.2703,230.829,1599.14,0.49,999.6,505.6,0.82,771.04
JUNGLE,누누와 윌럼프,4.43,4.75,11.79,5.43,13616.5631,30167.2105,28.5089,10648.5292,164.7502,1547.41,0.46,527.97,412.89,1.11,1169.72
MIDDLE,나서스,4.11,4.38,5.13,3.22,18115.7778,38967.5333,20.4444,10692.5778,200.4444,1572.87,1.6,691.06,407.89,0.78,1486.49
TOP,그웬,5.0,5.66,3.94,2.37,23594.4135,28936.8148,25.5513,11291.3273,203.4803,1556.24,2.05,909.67,435.33,0.99,1115.64
JUNGLE,말파이트,4.33,4.4,9.25,4.63,15241.8821,20039.19,34.1697,10829.1503,177.8935,1574.44,0.49,580.85,412.69,1.3,763.67
MIDDLE,키아나,7.75,5.62,5.52,3.51,22963.3844,21569.8434,25.2377,11631.667,184.5701,1550.25,2.74,888.76,450.19,0.98,834.83
BOTTOM,시비르,5.67,4.95,8.16,4.07,24447.875,18735.4116,22.8378,13557.8108,234.1678,1571.85,0.39,933.21,517.52,0.87,715.16
UTILITY,뽀삐,2.32,5.45,11.58,3.65,10574.8573,22147.3726,88.9495,8047.2405,28.9192,1590.1,0.25,399.03,303.65,3.36,835.7
MIDDLE,애니비아,4.93,3.97,7.23,4.76,20031.3362,25833.8079,28.6034,10786.4934,201.701,1578.07,1.14,761.61,410.12,1.09,982.23
BOTTOM,이즈리얼,6.14,5.09,6.56,3.63,26116.1514,20657.5935,20.4809,12929.1979,214.8702,1572.43,0.57,996.53,493.35,0.78,788.24
TOP,룰루,2.99,4.02,9.72,4.69,16350.8402,17303.0118,27.6923,9669.432,170.0473,1589.69,1.39,617.13,364.95,1.05,653.07
JUNGLE,사일러스,6.73,5.26,7.96,4.42,18518.2937,32409.5483,29.1169,11580.5069,170.4531,1545.03,0.87,719.14,449.72,1.13,1258.6
BOTTOM,제리,6.81,5.81,6.32,3.28,24270.251,21178.3213,26.9402,14072.9652,235.1787,1582.89,0.44,919.97,533.44,1.02,802.77
UTILITY,쓰레쉬,1.44,5.24,13.6,4.3,7244.7504,19901.9099,81.1809,7710.4839,29.9562,1571.57,0.13,276.59,294.37,3.1,759.82
TOP,아트록스,4.3,5.19,4.51,2.58,19829.267,32547.1266,24.1471,10088.1257,183.7481,1544.99,1.69,770.07,391.77,0.94,1263.98
JUNGLE,에코,7.87,4.59,6.6,4.97,19688.1171,28159.0623,29.9696,12618.5093,185.41,1554.26,0.88,760.03,487.12,1.16,1087.04
MIDDLE,카타리나,8.68,5.17,5.45,4.16,22808.3398,22620.3799,21.178,11529.6593,179.7145,1545.87,2.09,885.26,447.5,0.82,877.97
JUNGLE,마스터 이,8.51,5.14,5.0,3.93,17962.1894,22638.3488,30.1628,12210.4203,180.6262,1526.69,1.15,705.93,479.88,1.19,889.71
BOTTOM,케이틀린,6.61,5.29,5.99,3.56,23017.4665,17967.0641,23.7312,13446.6224,222.6402,1574.46,0.49,877.16,512.43,0.9,684.69
