dragon_count,match_count,win_count,win_rate
0,19431,1599,8.229118419021152
1,23057,9204,39.91846293967125
2,23146,15039,64.97450963449408
3,16108,12185,75.64564191705985
4,6752,5945,88.04798578199052
5,646,590,91.3312693498452
6,22,19,86.36363636363636
