position,champion,team,total_games,win_count,win_rate
BOTTOM,카서스,Blue,54,32,59.26
BOTTOM,카서스,Red,68,39,57.35
BOTTOM,카시오페아,Blue,357,201,56.3
BOTTOM,카시오페아,Red,340,177,52.06
BOTTOM,카이사,Blue,4398,2153,48.95
BOTTOM,카이사,Red,4400,2138,48.59
BOTTOM,카타리나,Blue,1,1,100.0
BOTTOM,카타리나,Red,1,1,100.0
BOTTOM,칼리스타,Blue,225,132,58.67
BOTTOM,칼리스타,Red,217,114,52.53
BOTTOM,케이틀린,Blue,2496,1278,51.2
BOTTOM,케이틀린,Red,2649,1317,49.72
BOTTOM,코그모,Blue,133,77,57.89
BOTTOM,코그모,Red,148,71,47.97
BOTTOM,코르키,Blue,526,239,45.44
BOTTOM,코르키,Red,599,302,50.42
BOTTOM,크산테,Blue,2,0,0.0
BOTTOM,크산테,Red,1,0,0.0
BOTTOM,키아나,Blue,11,3,27.27
BOTTOM,키아나,Red,15,9,60.0
BOTTOM,킨드레드,Blue,1,0,0.0
BOTTOM,킨드레드,Red,4,3,75.0
BOTTOM,탈리야,Blue,10,3,30.0
BOTTOM,탈리야,Red,16,9,56.25
BOTTOM,트리스타나,Blue,1198,634,52.92
BOTTOM,트리스타나,Red,1237,645,52.14
BOTTOM,트위스티드 페이트,Blue,4,2,50.0
BOTTOM,트위스티드 페이트,Red,2,2,100.0
BOTTOM,트위치,Blue,316,160,50.63
BOTTOM,트위치,Red,309,161,52.1
BOTTOM,티모,Blue,2,1,50.0
BOTTOM,피들스틱,Blue,1,0,0.0
BOTTOM,하이머딩거,Blue,65,37,56.92
BOTTOM,하이머딩거,Red,60,33,55.0
BOTTOM,흐웨이,Blue,35,19,54.29
BOTTOM,흐웨이,Red,49,25,51.02
JUNGLE,가렌,Blue,1,0,0.0
JUNGLE,그라가스,Blue,56,28,50.0
JUNGLE,그라가스,Red,59,31,52.54
JUNGLE,그레이브즈,Blue,589,271,46.01
JUNGLE,그레이브즈,Red,607,303,49.92
JUNGLE,그웬,Blue,885,455,51.41
JUNGLE,그웬,Red,1002,530,52.89
JUNGLE,나서스,Blue,3,2,66.67
JUNGLE,나서스,Red,5,0,0.0
JUNGLE,나피리,Blue,184,81,44.02
JUNGLE,나피리,Red,216,102,47.22
JUNGLE,노틸러스,Blue,5,1,20.0
JUNGLE,노틸러스,Red,1,0,0.0
JUNGLE,녹턴,Blue,295,143,48.47
JUNGLE,녹턴,Red,310,175,56.45
JUNGLE,누누와 윌럼프,Blue,770,404,52.47
JUNGLE,누누와 윌럼프,Red,855,464,54.27
JUNGLE,니달리,Blue,1529,777,50.82
JUNGLE,니달리,Red,1578,824,52.22
JUNGLE,니코,Blue,21,12,57.14
JUNGLE,니코,Red,18,12,66.67
JUNGLE,다리우스,Blue,8,5,62.5
JUNGLE,다리우스,Red,9,4,44.44
JUNGLE,다이애나,Blue,640,281,43.91
JUNGLE,다이애나,Red,691,327,47.32
JUNGLE,드레이븐,Red,1,0,0.0
JUNGLE,라이즈,Red,1,1,100.0
JUNGLE,람머스,Blue,155,76,49.03
JUNGLE,람머스,Red,156,88,56.41
JUNGLE,럼블,Blue,24,11,45.83
JUNGLE,럼블,Red,23,8,34.78
JUNGLE,렉사이,Blue,1324,706,53.32
JUNGLE,렉사이,Red,1403,772,55.02
JUNGLE,렝가,Blue,326,172,52.76
JUNGLE,렝가,Red,329,155,47.11
JUNGLE,리 신,Blue,4911,2508,51.07
JUNGLE,리 신,Red,5032,2570,51.07
JUNGLE,리븐,Blue,20,10,50.0
JUNGLE,리븐,Red,14,8,57.14
JUNGLE,릴리아,Blue,605,310,51.24
JUNGLE,릴리아,Red,693,376,54.26
JUNGLE,마스터 이,Blue,296,151,51.01
JUNGLE,마스터 이,Red,306,134,43.79
