position,champion,build_path,total_games,win_count,win_rate
BOTTOM,바루스,요우무의 유령검 ➜ 세릴다의 원한 ➜ 밤의 끝자락,23,14,60.87
BOTTOM,바루스,요우무의 유령검 ➜ 세릴다의 원한 ➜ 톱날 단검,7,3,42.86
BOTTOM,바루스,요우무의 유령검 ➜ 요새파괴자 ➜ 세릴다의 원한,5,3,60.0
BOTTOM,바루스,요우무의 유령검 ➜ 최후의 속삭임 ➜ 무라마나,6,4,66.67
BOTTOM,바루스,요우무의 유령검 ➜ 콜필드의 전투 망치 ➜ 롱소드,40,19,47.5
BOTTOM,바루스,요우무의 유령검 ➜ 콜필드의 전투 망치 ➜ 무라마나,8,5,62.5
BOTTOM,바루스,요우무의 유령검 ➜ 콜필드의 전투 망치 ➜ 밤의 끝자락,7,3,42.86
BOTTOM,바루스,요우무의 유령검 ➜ 콜필드의 전투 망치 ➜ 최후의 속삭임,5,3,60.0
BOTTOM,바루스,요우무의 유령검 ➜ 톱날 단검 ➜ 땅굴 채굴기,9,4,44.44
BOTTOM,바루스,요우무의 유령검 ➜ 톱날 단검 ➜ 롱소드,15,5,33.33
BOTTOM,바루스,요우무의 유령검 ➜ 톱날 단검 ➜ 루비 수정,5,2,40.0
BOTTOM,바루스,요우무의 유령검 ➜ 톱날 단검 ➜ 무라마나,6,1,16.67
BOTTOM,바루스,요우무의 유령검 ➜ 톱날 단검 ➜ 세릴다의 원한,8,5,62.5
BOTTOM,바루스,콜필드의 전투 망치 ➜ 요우무의 유령검 ➜ 롱소드,7,2,28.57
BOTTOM,베이가,마법공학 로켓 벨트 ➜ 사라진 양피지 ➜ 영겁의 지팡이,5,2,40.0
BOTTOM,베이가,마법공학 로켓 벨트 ➜ 실체화 장비 ➜ 영겁의 지팡이,10,7,70.0
BOTTOM,베인,몰락한 왕의 검 ➜ 구인수의 격노검 ➜ 경계,5,2,40.0
BOTTOM,베인,몰락한 왕의 검 ➜ 구인수의 격노검 ➜ 곡궁,5,3,60.0
