position,champion,spell1,spell2,total_games,win_count,win_rate
MIDDLE,에코,점화,점멸,815,378,46.38
MIDDLE,오로라,방어막,점멸,7,4,57.14
MIDDLE,오로라,순간이동,점멸,1232,582,47.24
MIDDLE,오로라,유체화,점멸,11,9,81.82
MIDDLE,오로라,점화,점멸,615,322,52.36
MIDDLE,오로라,정화,점멸,8,2,25.0
MIDDLE,오로라,탈진,점멸,5,5,100.0
MIDDLE,오른,순간이동,점멸,11,5,45.45
MIDDLE,오리아나,방어막,점멸,31,15,48.39
MIDDLE,오리아나,순간이동,점멸,5621,2859,50.86
MIDDLE,오리아나,유체화,점멸,205,111,54.15
MIDDLE,오리아나,점화,점멸,75,34,45.33
MIDDLE,오리아나,정화,점멸,125,49,39.2
MIDDLE,오리아나,탈진,점멸,73,36,49.32
MIDDLE,오리아나,회복,점멸,10,7,70.0
MIDDLE,올라프,유체화,점멸,6,5,83.33
MIDDLE,요네,방어막,점멸,7,1,14.29
MIDDLE,요네,순간이동,점멸,1893,890,47.02
MIDDLE,요네,점화,점멸,127,66,51.97
MIDDLE,요네,정화,점멸,15,5,33.33
MIDDLE,요네,탈진,점멸,256,124,48.44
MIDDLE,요릭,순간이동,점멸,16,5,31.25
MIDDLE,우디르,순간이동,점멸,5,3,60.0
MIDDLE,우르곳,순간이동,점멸,12,9,75.0
MIDDLE,우르곳,점화,점멸,15,7,46.67
MIDDLE,워윅,방어막,유체화,6,0,0.0
MIDDLE,워윅,방어막,점멸,32,16,50.0
MIDDLE,유나라,순간이동,점멸,7,2,28.57
MIDDLE,유나라,유체화,점멸,8,4,50.0
MIDDLE,이렐리아,순간이동,점멸,846,447,52.84
MIDDLE,이렐리아,점화,점멸,408,200,49.02
MIDDLE,이렐리아,정화,점멸,43,26,60.47
MIDDLE,이렐리아,탈진,점멸,52,31,59.62
MIDDLE,이즈리얼,순간이동,점멸,27,15,55.56
