position,champion,avg_cs,avg_gold,avg_plates,avg_early_kills
BOTTOM,이렐리아,215.3333,12053.0,15.67,3.0
JUNGLE,아무무,162.6701,10372.3196,28.63,2.22
TOP,아리,194.0,10133.55,16.8,1.93
TOP,스카너,160.8947,9471.2632,23.21,1.83
BOTTOM,럭스,145.0,8657.0,4.0,6.0
MIDDLE,신 짜오,182.96,10743.36,13.48,2.87
UTILITY,리 신,40.75,9841.65,23.05,2.94
TOP,카사딘,193.8636,11367.6591,21.25,1.46
UTILITY,비에고,28.0,8747.875,19.88,1.62
MIDDLE,아이번,169.5714,10275.5714,20.79,1.69
MIDDLE,마스터 이,175.0,10629.5429,19.91,3.46
UTILITY,피즈,38.2,8702.8,13.8,3.0
MIDDLE,카직스,132.0,8302.5,29.5,2.0
JUNGLE,제리,167.6667,10863.3333,31.5,3.67
UTILITY,아칼리,44.0,9368.0,9.67,2.67
MIDDLE,하이머딩거,217.3125,12163.8333,18.6,2.15
UTILITY,누누와 윌럼프,37.1818,9340.4545,20.48,2.78
TOP,이즈리얼,192.8,11080.8,21.0,3.33
BOTTOM,크산테,148.3333,8596.0,27.0,1.0
TOP,바이,180.3333,10788.2778,17.41,2.2
BOTTOM,키아나,174.8077,12298.8846,15.77,4.16
TOP,브라이어,173.8462,11146.6154,17.69,3.2
BOTTOM,르블랑,258.0,20500.0,31.0,4.0
TOP,아펠리오스,152.0,8882.6667,25.67,3.33
UTILITY,요릭,46.3333,7090.3333,8.0,1.0
UTILITY,오른,32.2,7317.9,10.4,1.57
BOTTOM,모르가나,175.0,12537.0,14.0,3.0
TOP,세나,192.7333,11408.6,10.67,1.0
UTILITY,다리우스,45.6667,9983.0,22.67,1.67
BOTTOM,카르마,177.3333,11004.3333,14.67,2.0
TOP,벡스,201.0,11226.9091,10.27,1.78
BOTTOM,비에고,203.5455,14324.5455,19.09,3.6
UTILITY,가렌,53.0,9094.5,29.0,2.0
TOP,타릭,150.5,9902.75,21.75,1.0
TOP,베이가,219.0,11835.7692,16.08,1.5
BOTTOM,아지르,173.0,10051.1667,13.33,2.5
UTILITY,스몰더,39.5,5532.5,16.5,0.0
BOTTOM,사이온,136.0,6956.0,10.0,0.0
UTILITY,사이온,38.4828,8617.7931,17.9,2.43
TOP,멜,158.6667,8347.0,13.67,2.0
BOTTOM,가렌,68.0,5273.0,18.5,1.0
JUNGLE,진,184.0,9836.0,0.0,1.0
UTILITY,아이번,28.1429,8401.381,13.65,1.62
JUNGLE,이즈리얼,119.6667,7488.3333,24.67,2.5
BOTTOM,자크,120.0,8034.0,45.0,3.0
BOTTOM,다리우스,183.0,12557.0,6.0,4.0
BOTTOM,라이즈,253.6667,14919.1667,16.0,1.83
UTILITY,신드라,51.6364,9500.3182,16.68,2.0
UTILITY,피오라,29.75,7730.5,5.75,1.5
TOP,시비르,239.0,14833.0,10.0,2.0
JUNGLE,트위치,168.0,13569.6364,22.5,5.27
BOTTOM,브랜드,189.1818,11869.6364,21.64,2.88
UTILITY,클레드,43.0,8042.7778,14.0,2.0
JUNGLE,가렌,170.0,8198.0,38.0,1.0
UTILITY,칼리스타,46.3333,10872.6667,21.67,3.33
BOTTOM,람머스,146.5,11523.5,15.0,1.0
MIDDLE,벨베스,205.875,12211.25,22.0,2.75
TOP,진,172.6667,10180.0,22.33,2.0
UTILITY,카타리나,55.4,10550.2,18.6,3.6
BOTTOM,오로라,187.0,10975.6667,23.11,2.17
UTILITY,미스 포츈,39.8,8795.2,15.6,2.5
UTILITY,그레이브즈,26.0,5605.0,10.0,0.0
JUNGLE,모데카이저,189.6667,12476.8571,22.25,2.75
UTILITY,아크샨,36.3,9542.0,21.4,4.0
TOP,이블린,142.625,8761.5,27.0,2.5
TOP,유나라,283.0,13626.0,14.0,2.0
MIDDLE,탐 켄치,146.6667,9428.3333,17.67,2.67
MIDDLE,나르,198.5333,11221.2,16.2,2.83
BOTTOM,피들스틱,179.0,9280.0,45.0,3.0
MIDDLE,징크스,137.75,6615.25,8.67,1.75
TOP,쉬바나,212.1429,11355.1429,19.0,1.33
UTILITY,모데카이저,34.8,8626.0,20.5,1.75
UTILITY,트린다미어,41.1667,6591.6667,10.0,1.75
BOTTOM,갈리오,192.0,13274.0,5.0,1.0
JUNGLE,타릭,118.5,7881.0,0.0,2.0
UTILITY,아트록스,38.0,8545.25,20.0,2.25
TOP,브랜드,180.6471,9799.7647,22.53,1.75
BOTTOM,말자하,253.25,15087.0,27.25,2.67
JUNGLE,베인,174.8571,10586.4286,27.0,1.75
TOP,제리,217.3333,12258.5,17.5,1.0
JUNGLE,피즈,146.8571,9638.0,32.0,1.83
MIDDLE,소라카,138.3333,7905.0,20.0,1.0
MIDDLE,마오카이,185.5,8414.5,9.0,1.5
TOP,헤카림,138.0,6858.5,23.5,2.0
UTILITY,사미라,18.0,4660.0,22.0,1.0
UTILITY,그웬,40.0,7696.0,36.0,0.0
MIDDLE,볼리베어,175.375,9775.625,16.38,1.8
UTILITY,워윅,33.0,5515.0,16.0,0.0
TOP,블리츠크랭크,67.0,3669.0,20.0,0.0
MIDDLE,샤코,76.0,5944.0,11.0,2.0
BOTTOM,사일러스,160.25,11531.5,14.75,2.75
UTILITY,우르곳,31.5,8708.0,26.0,4.0
MIDDLE,엘리스,185.6667,15544.3333,12.67,3.67
JUNGLE,애쉬,250.0,13782.0,0.0,1.0
JUNGLE,나서스,185.25,12543.375,30.67,1.38
TOP,카직스,50.0,4837.0,15.0,1.0
BOTTOM,리산드라,193.0,9431.0,32.0,0.0
UTILITY,다이애나,48.5,8185.0,7.5,2.0
TOP,아우렐리온 솔,176.25,9797.25,18.0,2.0
JUNGLE,바드,86.0,4567.0,0.0,0.0
UTILITY,티모,48.3333,8890.8889,15.67,2.0
JUNGLE,신지드,128.0,8862.6667,0.0,2.5
BOTTOM,제이스,228.0,15718.0,30.0,1.5
BOTTOM,티모,201.0,11943.5,25.5,2.0
BOTTOM,킨드레드,164.6,11405.2,12.0,3.2
UTILITY,리븐,69.0,12257.0,21.0,3.0
JUNGLE,요네,204.4444,13754.3333,30.33,4.0
BOTTOM,그레이브즈,223.75,14257.375,24.38,2.0
BOTTOM,렝가,175.4444,14733.1111,10.12,8.22
UTILITY,갱플랭크,105.0,9355.0,10.0,0.0
UTILITY,나르,45.0,8523.0,6.0,1.0
MIDDLE,세나,184.0,10319.5,11.0,1.5
UTILITY,나피리,49.0,9136.4,15.4,4.33
JUNGLE,우르곳,194.75,13116.875,25.0,3.43
MIDDLE,니달리,162.0,7983.5,10.5,2.5
BOTTOM,카타리나,217.0,15984.0,16.0,2.5
TOP,바드,158.0,11105.0,10.0,4.0
BOTTOM,제드,190.5,14398.5,8.0,1.0
TOP,샤코,144.6667,9087.3333,27.83,4.0
BOTTOM,오리아나,142.5,7857.0,13.0,2.0
MIDDLE,오공,189.2,10805.2,22.8,2.33
MIDDLE,브라이어,156.3846,10896.8462,18.15,3.55
MIDDLE,미스 포츈,175.6667,10511.0,7.0,1.5
TOP,렐,152.0,8381.5,17.5,1.0
MIDDLE,렉사이,141.5,10945.5,25.0,1.0
UTILITY,시비르,111.0,8566.0,18.0,0.0
TOP,킨드레드,262.0,13597.0,11.0,2.0
TOP,닐라,280.0,13722.0,15.0,0.0
UTILITY,마스터 이,79.6667,12625.6667,20.67,2.33
BOTTOM,신 짜오,127.0,10918.5,22.5,2.5
TOP,노틸러스,189.5,10017.5,25.5,1.0
BOTTOM,마스터 이,145.0,8829.0,45.0,3.0
JUNGLE,스몰더,147.0,6937.0,20.0,1.0
MIDDLE,타릭,145.0,6321.0,17.5,0.0
TOP,릴리아,108.0,5346.5,15.0,2.0
UTILITY,퀸,38.0,10727.0,19.5,1.0
BOTTOM,나피리,234.0,16260.0,10.0,2.0
JUNGLE,카밀,178.0,12818.0,12.0,3.0
BOTTOM,니코,207.5,12245.0,7.0,2.5
TOP,제라스,219.0,13368.0,35.0,0.0
UTILITY,나서스,29.0,8623.5,4.5,2.0
MIDDLE,잔나,172.0,12559.0,5.0,3.0
TOP,잔나,130.0,11152.0,15.0,5.0
TOP,트위치,71.0,4583.0,24.0,2.0
JUNGLE,드레이븐,156.0,16477.0,0.0,5.0
JUNGLE,하이머딩거,161.0,11309.0,36.0,1.0
UTILITY,케인,51.0,7622.0,8.0,1.0
JUNGLE,아펠리오스,225.0,12302.0,0.0,3.0
UTILITY,드레이븐,60.0,3935.0,10.0,0.0
UTILITY,볼리베어,45.0,9026.0,44.0,1.0
UTILITY,빅토르,19.0,11352.0,14.0,2.0
JUNGLE,트위스티드 페이트,184.0,14170.0,29.0,2.0
UTILITY,유나라,153.0,10282.0,43.0,1.0
BOTTOM,라칸,33.0,8289.0,43.0,3.0
JUNGLE,라이즈,312.0,18309.0,0.0,2.0
MIDDLE,밀리오,147.0,8544.0,35.0,1.0
BOTTOM,오른,218.0,15352.0,26.0,5.0
TOP,자야,102.0,4873.0,7.0,2.0
TOP,미스 포츈,189.0,9575.0,15.0,1.0
MIDDLE,칼리스타,235.0,13701.0,9.0,4.0
JUNGLE,카시오페아,223.0,13122.0,35.0,1.0
TOP,징크스,281.0,17367.0,37.0,2.0
MIDDLE,소나,195.0,8024.0,15.0,0.0
MIDDLE,람머스,150.0,10188.5,5.5,0.0
