position,champion,rune_key,rune_main,rune_sub,total_games,win_count,win_rate
BOTTOM,아지르,치명적 속도,정밀,마법,5,4,80.0
BOTTOM,아펠리오스,기민한 발놀림,정밀,마법,154,64,41.56
BOTTOM,아펠리오스,기민한 발놀림,정밀,영감,1964,958,48.78
BOTTOM,아펠리오스,봉인 풀린 주문서,영감,마법,6,4,66.67
BOTTOM,아펠리오스,정복자,정밀,마법,103,50,48.54
BOTTOM,아펠리오스,정복자,정밀,영감,1842,920,49.95
BOTTOM,아펠리오스,집중 공격,정밀,결의,14,9,64.29
BOTTOM,아펠리오스,집중 공격,정밀,마법,423,181,42.79
BOTTOM,아펠리오스,집중 공격,정밀,영감,7858,4013,51.07
BOTTOM,아펠리오스,치명적 속도,정밀,마법,106,51,48.11
BOTTOM,아펠리오스,치명적 속도,정밀,영감,581,292,50.26
BOTTOM,애니비아,감전,지배,정밀,14,7,50.0
BOTTOM,애쉬,집중 공격,정밀,영감,15,7,46.67
BOTTOM,애쉬,치명적 속도,정밀,영감,1704,812,47.65
BOTTOM,야스오,치명적 속도,정밀,결의,291,151,51.89
BOTTOM,야스오,치명적 속도,정밀,영감,26,13,50.0
BOTTOM,야스오,칼날비,지배,정밀,15,10,66.67
BOTTOM,오로라,감전,지배,정밀,9,2,22.22
BOTTOM,요네,치명적 속도,정밀,결의,8,3,37.5
BOTTOM,유나라,기민한 발놀림,정밀,영감,6,1,16.67
BOTTOM,유나라,집중 공격,정밀,마법,8,6,75.0
BOTTOM,유나라,집중 공격,정밀,영감,13,8,61.54
BOTTOM,유나라,치명적 속도,정밀,결의,9,4,44.44
BOTTOM,유나라,치명적 속도,정밀,마법,15,7,46.67
BOTTOM,유나라,치명적 속도,정밀,영감,8027,3954,49.26
BOTTOM,이즈리얼,선제공격,영감,마법,9,6,66.67
BOTTOM,이즈리얼,선제공격,영감,정밀,29,19,65.52
BOTTOM,이즈리얼,정복자,정밀,마법,10,5,50.0
BOTTOM,이즈리얼,정복자,정밀,영감,738,371,50.27
BOTTOM,이즈리얼,집중 공격,정밀,영감,1045,494,47.27
BOTTOM,이즈리얼,치명적 속도,정밀,마법,9,3,33.33
BOTTOM,이즈리얼,치명적 속도,정밀,영감,6673,3132,46.94
BOTTOM,자야,정복자,정밀,영감,125,72,57.6
BOTTOM,자야,치명적 속도,정밀,영감,969,501,51.7
BOTTOM,자이라,신비로운 유성,마법,정밀,11,6,54.55
BOTTOM,제라스,선제공격,영감,마법,8,3,37.5
BOTTOM,제라스,신비로운 유성,마법,영감,70,32,45.71
BOTTOM,제라스,신비로운 유성,마법,정밀,28,13,46.43
BOTTOM,제라스,콩콩이 소환,마법,영감,7,3,42.86
BOTTOM,제라스,콩콩이 소환,마법,정밀,9,6,66.67
BOTTOM,제리,기민한 발놀림,정밀,영감,16,10,62.5
BOTTOM,제리,정복자,정밀,영감,6,2,33.33
BOTTOM,제리,치명적 속도,정밀,결의,80,35,43.75
BOTTOM,제리,치명적 속도,정밀,마법,19,11,57.89
BOTTOM,제리,치명적 속도,정밀,영감,1396,653,46.78
BOTTOM,직스,선제공격,영감,마법,39,23,58.97
BOTTOM,직스,신비로운 유성,마법,영감,548,296,54.01
BOTTOM,직스,신비로운 유성,마법,정밀,109,52,47.71
BOTTOM,진,기민한 발놀림,정밀,마법,1263,593,46.95
BOTTOM,진,기민한 발놀림,정밀,영감,2989,1456,48.71
BOTTOM,진,신비로운 유성,마법,결의,9,3,33.33
BOTTOM,진,신비로운 유성,마법,영감,16,13,81.25
BOTTOM,진,어둠의 수확,지배,마법,9,3,33.33
BOTTOM,진,어둠의 수확,지배,영감,123,58,47.15
