position,champion,avg_dragon,avg_baron,avg_horde,avg_vision,avg_ward,avg_plates,win_rate,game_count,pos_dragon,pos_baron,pos_horde,pos_vision,pos_ward,pos_plates,diff_dragon,diff_baron,diff_horde,diff_vision,diff_plates
BOTTOM,그레이브즈,1.75,0.75,1.25,23.625,1.625,11.0,50.0,8,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.09,0.283,-0.249,0.93,2.87
BOTTOM,닐라,1.623497997329773,0.4699599465954606,1.5994659546061416,18.730307076101468,0.9158878504672897,7.865153538050734,55.41,749,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,-0.037,0.003,0.101,-3.97,-0.27
BOTTOM,드레이븐,1.796383121232418,0.5036838580040187,1.5438713998660416,21.713328868050905,1.5425318151373075,7.787006028131279,51.24,1493,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.136,0.037,0.045,-0.98,-0.34
BOTTOM,라이즈,2.3333333333333335,0.6666666666666666,2.0,21.666666666666668,1.6666666666666667,8.333333333333334,50.0,6,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.673,0.2,0.501,-1.03,0.2
BOTTOM,렝가,2.7777777777777777,0.7777777777777778,1.6666666666666667,26.22222222222222,1.0,5.444444444444445,88.89,9,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,1.117,0.311,0.168,3.53,-2.69
BOTTOM,루시안,1.6692542631712903,0.46436752354288624,1.495418681598371,23.883430898447443,1.3672690251972512,8.005981165691015,49.36,7858,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.009,-0.003,-0.004,1.19,-0.13
BOTTOM,멜,1.6370656370656371,0.444015444015444,1.494208494208494,21.84942084942085,1.9382239382239381,7.66023166023166,49.03,259,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,-0.023,-0.023,-0.005,-0.85,-0.47
BOTTOM,미스 포츈,1.6695563488016318,0.45614482406935236,1.5244773074961755,23.57011728709842,1.447475777664457,7.997960224375318,52.24,3922,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.009,-0.011,0.026,0.87,-0.13
BOTTOM,바루스,1.70014012143858,0.4703409621672116,1.4852872489490891,23.301728164409155,1.805698271835591,8.057449789817841,48.16,2141,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.04,0.003,-0.014,0.61,-0.07
BOTTOM,베이가,1.5820895522388059,0.4626865671641791,1.5970149253731343,23.35820895522388,2.6865671641791047,7.7611940298507465,60.45,134,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,-0.078,-0.004,0.098,0.66,-0.37
BOTTOM,베인,1.4398625429553265,0.42955326460481097,1.5189003436426116,22.19931271477663,0.9450171821305842,8.642611683848797,45.02,291,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,-0.221,-0.037,0.02,-0.5,0.51
BOTTOM,벨코즈,1.9642058165548097,0.4809843400447427,1.6554809843400446,25.45413870246085,3.243847874720358,7.914988814317673,53.47,447,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.304,0.014,0.157,2.76,-0.22
BOTTOM,브랜드,1.7272727272727273,0.45454545454545453,1.0,23.545454545454547,2.5454545454545454,8.181818181818182,72.73,11,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.067,-0.012,-0.499,0.85,0.05
BOTTOM,블라디미르,1.4285714285714286,0.7142857142857143,1.5714285714285714,18.0,0.14285714285714285,8.142857142857142,42.86,7,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,-0.232,0.247,0.072,-4.7,0.01
BOTTOM,비에고,1.9090909090909092,0.5454545454545454,2.0,22.818181818181817,0.9090909090909091,8.636363636363637,54.55,11,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.249,0.079,0.501,0.12,0.5
BOTTOM,빅토르,1.7027027027027026,0.5,1.7702702702702702,25.013513513513512,1.9594594594594594,7.45945945945946,62.16,74,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.042,0.033,0.271,2.32,-0.67
BOTTOM,사미라,1.6903114186851211,0.4186851211072664,1.5294117647058822,20.465397923875432,1.2439446366782008,8.020761245674741,50.0,578,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,0.03,-0.048,0.03,-2.23,-0.11
BOTTOM,세나,1.5161290322580645,0.3225806451612903,1.2580645161290323,25.387096774193548,1.6774193548387097,9.064516129032258,32.26,31,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,-0.144,-0.144,-0.241,2.69,0.93
BOTTOM,세라핀,1.507936507936508,0.3968253968253968,1.492063492063492,19.49206349206349,1.2698412698412698,8.206349206349206,47.62,63,1.6603822256118077,0.4669141562549068,1.498945739216258,22.696485049684842,1.3741279917453624,8.131704089185977,-0.152,-0.07,-0.007,-3.2,0.07
