position,champion,item_name,pick_count,win_count,win_rate
BOTTOM,라칸,태양의 썰매,1,0,0.0
UTILITY,갈리오,천상의 이의,1,0,0.0
UTILITY,갈리오,태양의 썰매,1,0,0.0
UTILITY,나미,꿈 생성기,27,10,37.03703703703704
UTILITY,나미,자자크의 세계가시,3,1,33.33333333333333
UTILITY,노틸러스,천상의 이의,157,76,48.40764331210191
UTILITY,노틸러스,태양의 썰매,101,41,40.5940594059406
UTILITY,노틸러스,피의 노래,1,0,0.0
UTILITY,니달리,꿈 생성기,2,1,50.0
UTILITY,니달리,천상의 이의,1,0,0.0
UTILITY,니달리,피의 노래,2,0,0.0
UTILITY,니코,자자크의 세계가시,37,19,51.35135135135135
UTILITY,니코,천상의 이의,20,8,40.0
UTILITY,니코,태양의 썰매,19,13,68.42105263157895
UTILITY,라칸,천상의 이의,95,40,42.10526315789473
UTILITY,라칸,태양의 썰매,44,16,36.36363636363637
UTILITY,람머스,천상의 이의,1,1,100.0
UTILITY,람머스,피의 노래,1,0,0.0
UTILITY,럭스,자자크의 세계가시,28,11,39.285714285714285
UTILITY,럼블,자자크의 세계가시,2,0,0.0
UTILITY,레나타 글라스크,꿈 생성기,3,2,66.66666666666666
UTILITY,레나타 글라스크,천상의 이의,2,1,50.0
UTILITY,레오나,천상의 이의,63,27,42.857142857142854
UTILITY,레오나,태양의 썰매,51,32,62.745098039215684
UTILITY,레오나,피의 노래,1,0,0.0
UTILITY,렐,천상의 이의,59,26,44.06779661016949
UTILITY,렐,태양의 썰매,30,14,46.666666666666664
UTILITY,룰루,꿈 생성기,157,66,42.038216560509554
UTILITY,룰루,자자크의 세계가시,29,13,44.827586206896555
UTILITY,르블랑,자자크의 세계가시,14,6,42.857142857142854
UTILITY,마오카이,천상의 이의,10,6,60.0
UTILITY,마오카이,태양의 썰매,18,12,66.66666666666666
UTILITY,멜,자자크의 세계가시,28,13,46.42857142857143
UTILITY,모르가나,꿈 생성기,1,0,0.0
UTILITY,모르가나,자자크의 세계가시,20,10,50.0
UTILITY,문도 박사,태양의 썰매,1,0,0.0
UTILITY,밀리오,꿈 생성기,37,20,54.054054054054056
UTILITY,바드,꿈 생성기,50,33,66.0
UTILITY,바드,천상의 이의,9,5,55.55555555555556
UTILITY,바드,태양의 썰매,55,29,52.72727272727272
UTILITY,바드,피의 노래,20,7,35.0
UTILITY,베인,피의 노래,1,1,100.0
UTILITY,벨코즈,자자크의 세계가시,9,2,22.22222222222222
UTILITY,브라움,천상의 이의,71,28,39.436619718309856
UTILITY,브라움,태양의 썰매,147,83,56.4625850340136
UTILITY,브랜드,자자크의 세계가시,4,2,50.0
UTILITY,블리츠크랭크,천상의 이의,63,33,52.38095238095239
UTILITY,블리츠크랭크,태양의 썰매,45,14,31.11111111111111
UTILITY,블리츠크랭크,피의 노래,1,0,0.0
UTILITY,뽀삐,천상의 이의,29,15,51.724137931034484
UTILITY,뽀삐,태양의 썰매,13,8,61.53846153846154
UTILITY,뽀삐,피의 노래,13,10,76.92307692307693
UTILITY,사이온,태양의 썰매,2,1,50.0
UTILITY,사일러스,자자크의 세계가시,5,2,40.0
UTILITY,사일러스,천상의 이의,8,4,50.0
UTILITY,사일러스,피의 노래,1,0,0.0
UTILITY,샤코,자자크의 세계가시,6,1,16.666666666666664
UTILITY,샤코,피의 노래,5,3,60.0
UTILITY,세나,자자크의 세계가시,1,1,100.0
UTILITY,세나,피의 노래,21,12,57.14285714285714
UTILITY,세라핀,꿈 생성기,19,4,21.052631578947366
UTILITY,세라핀,자자크의 세계가시,6,1,16.666666666666664
UTILITY,세트,피의 노래,1,0,0.0
UTILITY,소나,꿈 생성기,14,4,28.57142857142857
UTILITY,소나,피의 노래,1,1,100.0
UTILITY,소라카,꿈 생성기,12,6,50.0
UTILITY,소라카,천상의 이의,2,0,0.0
UTILITY,쉔,피의 노래,1,0,0.0
UTILITY,스웨인,자자크의 세계가시,8,4,50.0
UTILITY,스웨인,천상의 이의,9,6,66.66666666666666
UTILITY,스웨인,태양의 썰매,1,1,100.0
UTILITY,스카너,천상의 이의,1,1,100.0
UTILITY,신지드,천상의 이의,1,1,100.0
UTILITY,쓰레쉬,천상의 이의,88,34,38.63636363636363
UTILITY,쓰레쉬,태양의 썰매,100,50,50.0
UTILITY,아무무,천상의 이의,1,1,100.0
UTILITY,아크샨,피의 노래,2,1,50.0
UTILITY,알리스타,천상의 이의,68,28,41.17647058823529
UTILITY,알리스타,태양의 썰매,45,16,35.55555555555556
UTILITY,애니비아,자자크의 세계가시,1,0,0.0
UTILITY,애쉬,태양의 썰매,3,1,33.33333333333333
UTILITY,애쉬,피의 노래,1,0,0.0
UTILITY,에코,천상의 이의,1,0,0.0
UTILITY,엘리스,자자크의 세계가시,9,5,55.55555555555556
UTILITY,엘리스,피의 노래,55,29,52.72727272727272
UTILITY,오리아나,자자크의 세계가시,1,0,0.0
UTILITY,유미,꿈 생성기,60,21,35.0
UTILITY,자르반 4세,피의 노래,1,0,0.0
UTILITY,자이라,자자크의 세계가시,9,4,44.44444444444444
UTILITY,자크,천상의 이의,1,1,100.0
UTILITY,자크,태양의 썰매,1,1,100.0
UTILITY,잔나,꿈 생성기,6,2,33.33333333333333
UTILITY,제라스,자자크의 세계가시,16,8,50.0
UTILITY,조이,자자크의 세계가시,6,4,66.66666666666666
UTILITY,직스,자자크의 세계가시,1,0,0.0
UTILITY,질리언,자자크의 세계가시,2,0,0.0
UTILITY,질리언,천상의 이의,1,0,0.0
UTILITY,질리언,태양의 썰매,6,3,50.0
