position,champion,item_name,pick_count,win_count,win_rate
BOTTOM,카시오페아,체력 물약 + 충전형 물약,1,1,100.0
BOTTOM,카이사,2 체력 물약,8,6,75.0
BOTTOM,카이사,단검 + 도란의 검,1,0,0.0
BOTTOM,카이사,단검 + 장화,1,0,0.0
BOTTOM,카이사,단검 + 체력 물약,1,0,0.0
BOTTOM,카이사,도란의 검,3,1,33.33333333333333
BOTTOM,카이사,도란의 검 + 도란의 방패,1,1,100.0
BOTTOM,카이사,도란의 검 + 롱소드,2,0,0.0
BOTTOM,카이사,도란의 검 + 루비 수정,1,0,0.0
BOTTOM,카이사,도란의 검 + 수확의 낫,6,4,66.66666666666666
BOTTOM,카이사,도란의 검 + 여신의 눈물,5,4,80.0
BOTTOM,카이사,도란의 검 + 장화,1,0,0.0
BOTTOM,카이사,도란의 검 + 제어 와드,1,1,100.0
BOTTOM,카이사,도란의 검 + 체력 물약,8732,4256,48.74026568941823
BOTTOM,카이사,도란의 검 + 충전형 물약,1,0,0.0
BOTTOM,카이사,롱소드 + 체력 물약,6,2,33.33333333333333
BOTTOM,카이사,마법무효화의 망토 + 체력 물약,2,1,50.0
BOTTOM,카이사,수확의 낫 + 체력 물약,8,7,87.5
BOTTOM,카이사,여신의 눈물 + 체력 물약,7,1,14.285714285714285
BOTTOM,카이사,장화 + 체력 물약,1,0,0.0
BOTTOM,카이사,제어 와드 + 체력 물약,1,0,0.0
BOTTOM,카이사,천 갑옷 + 체력 물약,1,1,100.0
BOTTOM,카이사,체력 물약 + 충전형 물약,1,1,100.0
BOTTOM,카타리나,도란의 검 + 체력 물약,2,2,100.0
BOTTOM,칼리스타,도란의 검 + 장화,1,0,0.0
BOTTOM,칼리스타,도란의 검 + 체력 물약,434,243,55.99078341013824
BOTTOM,칼리스타,도란의 검 + 칼리스타의 칠흑의 창,2,1,50.0
BOTTOM,칼리스타,롱소드 + 체력 물약,1,0,0.0
BOTTOM,칼리스타,여신의 눈물 + 체력 물약,1,1,100.0
BOTTOM,칼리스타,체력 물약 + 칼리스타의 칠흑의 창,2,1,50.0
BOTTOM,케이틀린,2 도란의 검,1,1,100.0
BOTTOM,케이틀린,2 체력 물약,4,2,50.0
BOTTOM,케이틀린,단검 + 도란의 검,1,1,100.0
BOTTOM,케이틀린,도란의 검,2,1,50.0
BOTTOM,케이틀린,도란의 검 + 도란의 방패,2,2,100.0
BOTTOM,케이틀린,도란의 검 + 롱소드,4,1,25.0
BOTTOM,케이틀린,도란의 검 + 마법무효화의 망토,2,2,100.0
BOTTOM,케이틀린,도란의 검 + 수확의 낫,7,4,57.14285714285714
BOTTOM,케이틀린,도란의 검 + 여신의 눈물,5,2,40.0
BOTTOM,케이틀린,도란의 검 + 체력 물약,5101,2570,50.38227798470888
BOTTOM,케이틀린,도란의 검 + 충전형 물약,1,1,100.0
BOTTOM,케이틀린,롱소드 + 체력 물약,2,1,50.0
BOTTOM,케이틀린,마법무효화의 망토 + 체력 물약,1,0,0.0
BOTTOM,케이틀린,수확의 낫 + 체력 물약,2,2,100.0
BOTTOM,케이틀린,여신의 눈물 + 체력 물약,4,3,75.0
BOTTOM,케이틀린,장화 + 체력 물약,1,0,0.0
BOTTOM,케이틀린,체력 물약 + 충전형 물약,2,1,50.0
BOTTOM,코그모,2 체력 물약,7,2,28.57142857142857
BOTTOM,코그모,도란의 검 + 도란의 반지,1,1,100.0
BOTTOM,코그모,도란의 검 + 수확의 낫,2,1,50.0
BOTTOM,코그모,도란의 검 + 체력 물약,245,133,54.285714285714285
BOTTOM,코그모,도란의 반지 + 체력 물약,20,7,35.0
BOTTOM,코그모,롱소드 + 충전형 물약,4,3,75.0
BOTTOM,코그모,수확의 낫 + 체력 물약,2,1,50.0
BOTTOM,코르키,2 체력 물약,2,0,0.0
BOTTOM,코르키,도란의 검,1,1,100.0
BOTTOM,코르키,도란의 검 + 롱소드,1,0,0.0
BOTTOM,코르키,도란의 검 + 수확의 낫,1,0,0.0
BOTTOM,코르키,도란의 검 + 여신의 눈물,1,1,100.0
