position,champion,item_name,total_games,win_count,win_rate
TOP,트리스타나,예언자의 렌즈,5,1.0,20.0
MIDDLE,자크,예언자의 렌즈,176,91.0,51.7
TOP,트린다미어,망원형 개조,85,38.0,44.71
TOP,마오카이,예언자의 렌즈,80,43.0,53.75
MIDDLE,야스오,예언자의 렌즈,878,466.0,53.08
MIDDLE,카시오페아,망원형 개조,453,235.0,51.88
TOP,올라프,예언자의 렌즈,488,281.0,57.58
TOP,우디르,예언자의 렌즈,315,180.0,57.14
MIDDLE,자이라,망원형 개조,30,13.0,43.33
UTILITY,리산드라,예언자의 렌즈,39,22.0,56.41
MIDDLE,피즈,예언자의 렌즈,543,280.0,51.57
TOP,제이스,예언자의 렌즈,310,166.0,53.55
JUNGLE,바이,투명 와드,81,22.0,27.16
UTILITY,크산테,예언자의 렌즈,55,21.0,38.18
TOP,엘리스,투명 와드,7,4.0,57.14
JUNGLE,렉사이,투명 와드,312,168.0,53.85
JUNGLE,헤카림,투명 와드,339,155.0,45.72
UTILITY,신지드,예언자의 렌즈,21,10.0,47.62
TOP,마오카이,투명 와드,111,46.0,41.44
MIDDLE,블라디미르,투명 와드,226,74.0,32.74
TOP,코르키,예언자의 렌즈,7,5.0,71.43
TOP,사일러스,투명 와드,219,91.0,41.55
TOP,나서스,예언자의 렌즈,48,19.0,39.58
TOP,우르곳,망원형 개조,273,158.0,57.88
MIDDLE,사이온,망원형 개조,76,37.0,48.68
MIDDLE,흐웨이,예언자의 렌즈,105,47.0,44.76
MIDDLE,크산테,투명 와드,34,15.0,44.12
BOTTOM,코그모,망원형 개조,260,139.0,53.46
BOTTOM,아우렐리온 솔,망원형 개조,173,91.0,52.6
UTILITY,우디르,예언자의 렌즈,14,9.0,64.29
MIDDLE,제드,투명 와드,394,154.0,39.09
TOP,오로라,투명 와드,147,59.0,40.14
UTILITY,말파이트,예언자의 렌즈,13,3.0,23.08
TOP,나서스,투명 와드,189,86.0,45.5
JUNGLE,카직스,투명 와드,188,102.0,54.26
TOP,쉔,투명 와드,606,303.0,50.0
MIDDLE,크산테,예언자의 렌즈,54,33.0,61.11
TOP,신지드,망원형 개조,268,131.0,48.88
MIDDLE,아크샨,예언자의 렌즈,85,46.0,54.12
TOP,조이,예언자의 렌즈,27,12.0,44.44
MIDDLE,비에고,예언자의 렌즈,137,72.0,52.55
TOP,일라오이,망원형 개조,140,66.0,47.14
MIDDLE,누누와 윌럼프,투명 와드,35,21.0,60.0
MIDDLE,자헨,투명 와드,29,13.0,44.83
UTILITY,스카너,예언자의 렌즈,138,68.0,49.28
BOTTOM,미스 포츈,예언자의 렌즈,42,25.0,59.52
UTILITY,아우렐리온 솔,예언자의 렌즈,2,1.0,50.0
BOTTOM,코르키,투명 와드,114,26.0,22.81
JUNGLE,올라프,예언자의 렌즈,69,32.0,46.38
MIDDLE,케넨,투명 와드,26,15.0,57.69
TOP,모르가나,예언자의 렌즈,3,2.0,66.67
TOP,가렌,예언자의 렌즈,327,157.0,48.01
MIDDLE,럭스,망원형 개조,331,159.0,48.04
MIDDLE,카서스,망원형 개조,40,13.0,32.5
JUNGLE,사일러스,투명 와드,112,54.0,48.21
MIDDLE,아리,투명 와드,305,108.0,35.41
UTILITY,자크,예언자의 렌즈,100,48.0,48.0
BOTTOM,멜,예언자의 렌즈,6,4.0,66.67
TOP,아크샨,투명 와드,13,5.0,38.46
BOTTOM,카이사,예언자의 렌즈,42,25.0,59.52
BOTTOM,직스,투명 와드,62,18.0,29.03
TOP,신 짜오,예언자의 렌즈,99,54.0,54.55
UTILITY,제라스,예언자의 렌즈,278,119.0,42.81
TOP,제드,망원형 개조,36,21.0,58.33
JUNGLE,오공,투명 와드,39,15.0,38.46
MIDDLE,트린다미어,예언자의 렌즈,109,52.0,47.71
TOP,드레이븐,투명 와드,19,7.0,36.84
UTILITY,케넨,예언자의 렌즈,84,50.0,59.52
MIDDLE,키아나,망원형 개조,70,29.0,41.43
MIDDLE,유나라,망원형 개조,21,10.0,47.62
MIDDLE,말자하,투명 와드,236,92.0,38.98
BOTTOM,시비르,투명 와드,277,67.0,24.19
TOP,오로라,망원형 개조,173,89.0,51.45
JUNGLE,아이번,망원형 개조,9,3.0,33.33
MIDDLE,갱플랭크,예언자의 렌즈,45,23.0,51.11
TOP,리산드라,망원형 개조,62,30.0,48.39
MIDDLE,벡스,망원형 개조,385,200.0,51.95
MIDDLE,리산드라,투명 와드,152,64.0,42.11
MIDDLE,카시오페아,예언자의 렌즈,146,71.0,48.63
MIDDLE,시비르,망원형 개조,8,4.0,50.0
UTILITY,카시오페아,예언자의 렌즈,29,19.0,65.52
MIDDLE,멜,투명 와드,177,46.0,25.99
