champion,item_name,pick_count,win_rate
멜,존야의 모래시계,48,64.58
멜,루덴의 메아리,42,38.1
멜,충전형 물약,40,42.5
멜,메자이의 영혼약탈자,38,65.79
멜,악마의 마법서,36,63.89
멜,폭풍 쇄도,32,56.25
멜,리안드리의 고통,29,44.83
멜,역병의 보석,25,48.0
멜,공허의 지팡이,22,50.0
멜,우주의 추진력,21,66.67
멜,제어 와드,21,42.86
멜,무덤꽃,19,42.11
멜,망각의 구,16,56.25
멜,마법공학 교류 발전기,14,21.43
멜,대천사의 포옹,13,38.46
멜,부서진 팔목 보호대,13,84.62
멜,방출의 마법봉,13,38.46
멜,추적자의 팔목 보호대,10,40.0
멜,실체화 장비,10,50.0
멜,신록의 장벽,10,60.0
미스 포츈,징수의 총,2923,54.4
미스 포츈,도란의 검,2892,50.8
미스 포츈,피바라기,2186,56.22
미스 포츈,무한의 대검,1664,59.98
미스 포츈,요우무의 유령검,1454,47.73
미스 포츈,롱소드,1008,43.75
미스 포츈,도미닉 경의 인사,831,61.01
미스 포츈,밤의 끝자락,681,58.3
미스 포츈,민첩성의 망토,650,46.77
미스 포츈,B.F. 대검,621,54.75
미스 포츈,곡괭이,583,49.23
미스 포츈,세릴다의 원한,569,53.25
미스 포츈,톱날 단검,544,45.59
미스 포츈,필멸자의 운명,397,55.42
미스 포츈,최후의 속삭임,341,46.04
미스 포츈,충전형 물약,325,41.85
미스 포츈,정수 약탈자,290,58.28
미스 포츈,제어 와드,247,58.7
미스 포츈,수호 천사,245,67.35
미스 포츈,독사의 송곳니,218,49.54
미스 포츈,절정의 화살,204,55.88
미스 포츈,수확의 낫,182,42.86
미스 포츈,고속 연사포,153,60.13
미스 포츈,기회,142,49.3
미스 포츈,불멸의 철갑궁,118,60.17
미스 포츈,원칙의 원형낫,118,59.32
미스 포츈,처형인의 대검,112,33.04
미스 포츈,콜필드의 전투 망치,97,44.33
미스 포츈,땅굴 채굴기,93,49.46
미스 포츈,그림자 검,84,47.62
미스 포츈,열정의 검,79,65.82
미스 포츈,강철 인장,74,66.22
미스 포츈,장화,73,5.48
미스 포츈,흡혈의 낫,71,28.17
미스 포츈,요새파괴자,64,62.5
미스 포츈,천 갑옷,48,56.25
미스 포츈,크라켄 학살자,48,60.42
미스 포츈,단검,46,65.22
미스 포츈,맬모셔스의 아귀,44,63.64
미스 포츈,유령 무희,43,58.14
미스 포츈,오만,36,58.33
미스 포츈,주문포식자,34,64.71
미스 포츈,폭풍갈퀴,34,61.76
미스 포츈,야수화,33,63.64
미스 포츈,마법광학 장치 C44,30,76.67
미스 포츈,정찰병의 새총,29,58.62
미스 포츈,수은 장식띠,27,66.67
미스 포츈,루비 수정,24,58.33
미스 포츈,신속의 장화,24,12.5
미스 포츈,헤르메스의 시미터,17,52.94
미스 포츈,마법무효화의 망토,17,64.71
미스 포츈,광휘의 검,15,46.67
미스 포츈,숙련의 영약,14,7.14
미스 포츈,굳건한 의지의 완전한 비스킷,13,53.85
미스 포츈,빛나는 티끌,12,41.67
미스 포츈,악마사냥꾼의 화살,12,50.0
바루스,도란의 검,1601,47.1
바루스,요우무의 유령검,1485,48.48
바루스,무라마나,1120,50.45
바루스,밤의 끝자락,908,54.3
바루스,롱소드,724,43.65
바루스,세릴다의 원한,566,53.36
바루스,구인수의 격노검,485,50.52
바루스,몰락한 왕의 검,426,48.59
바루스,톱날 단검,351,42.17
바루스,독사의 송곳니,339,49.56
바루스,여신의 눈물,297,38.72
바루스,콜필드의 전투 망치,263,45.63
바루스,경계,221,55.2
바루스,제어 와드,198,56.06
바루스,충전형 물약,185,36.22
바루스,최후의 속삭임,158,48.73
바루스,곡궁,140,42.14
바루스,기회,130,56.92
바루스,곡괭이,113,41.59
바루스,내셔의 이빨,104,48.08
바루스,단검,89,42.7
바루스,루비 수정,87,47.13
바루스,마법사의 최후,86,44.19
바루스,땅굴 채굴기,86,47.67
바루스,마나무네,83,54.22
바루스,존야의 모래시계,76,51.32
바루스,증폭의 고서,73,45.21
바루스,해신 작쇼,73,52.05
바루스,요새파괴자,71,63.38
바루스,황혼과 새벽,58,56.9
바루스,거인의 허리띠,57,57.89
바루스,실험적 마공학판,56,55.36
바루스,수호 천사,50,64.0
바루스,B.F. 대검,49,48.98
바루스,온기가 필요한 자의 도끼,48,58.33
바루스,원칙의 원형낫,47,51.06
바루스,야수화,34,70.59
바루스,란두인의 예언,32,34.38
바루스,크라켄 학살자,32,50.0
바루스,쇠사슬 조끼,30,43.33
바루스,천 갑옷,26,42.31
바루스,처형인의 대검,26,34.62
바루스,그림자 검,25,64.0
바루스,음전자 망토,25,56.0
바루스,맬모셔스의 아귀,23,60.87
바루스,빛나는 티끌,22,40.91
바루스,장화,22,4.55
바루스,균열 생성기,21,52.38
바루스,흡혈의 낫,21,42.86
바루스,케이닉 루컨,20,50.0
바루스,수확의 낫,20,45.0
바루스,강철 인장,20,50.0
바루스,부서진 팔목 보호대,19,68.42
바루스,헤르메스의 시미터,17,64.71
바루스,파수꾼의 갑옷,17,64.71
바루스,쓸데없이 큰 지팡이,17,35.29
바루스,쇼진의 창,15,53.33
바루스,오만,15,53.33
바루스,악마의 마법서,15,40.0
바루스,추적자의 팔목 보호대,13,46.15
바루스,수은 장식띠,13,46.15
바루스,꽁지깃,12,33.33
